"A" "M_bin" "Ycen_noint" "Y_cont_noint" "Y_bin_noint" "Y_count_noint" "cen" "C" "delta"
"23" 0 0 0.054500753668606 -3.565070608815 0 1 0.0686334816700916 1.801066684137 0
"24" 1 0 0.0396235497223147 -4.72819754735773 0 4 0.0686334816700916 1.8201047760212 0
"25" 0 1 0.00698183277975241 -4.85745095031157 0 1 0.0686334816700916 0.907206235377292 0
"26" 0 0 0.041454290120504 -1.90953839880711 0 6 0.0686334816700916 0.687748142337789 0
"27" 1 1 0.000590399073560038 -3.44947707188387 0 2 0.0686334816700916 2.93903076500336 0
"28" 1 1 0.00088972936463964 -1.90116249848797 0 0 0.0686334816700916 0.319515920143305 0
"29" 0 1 0.0389727034966206 -3.38455602466382 0 4 0.0686334816700916 0.950920794601604 0
"30" 0 0 0.0127616122291797 -2.42557279474322 0 3 0.0686334816700916 1.12000937081117 0
"31" 0 1 0.0264198385260321 -2.5943796760289 0 11 0.0686334816700916 -0.308588787887879 0
"32" 1 1 0.0652890774894236 -1.56307769259333 0 4 0.0686334816700916 1.59255501738923 0
"33" 0 1 0.0375703892031303 -3.47688961330926 0 5 0.0686334816700916 -0.0403843740072645 0
"34" 1 0 0.000119371798978325 -3.26817318395712 0 5 0.0686334816700916 -0.195258393896444 0
"35" 1 0 0.0073669648315577 -1.58698144343444 0 2 0.0686334816700916 -0.835423309976087 0
"36" 1 0 0.0446360308685502 -2.3601926802231 0 4 0.0686334816700916 1.09616533076723 0
"37" 0 0 0.0516618562907009 -1.25994647407231 0 3 0.0686334816700916 1.19065479294453 0
"38" 1 1 0.0619889602554316 -2.12849382383803 0 1 0.0686334816700916 1.36148211784239 0
"39" 1 1 0.0368721445204195 -4.65664361674736 0 6 0.0686334816700916 1.93399699763769 0
"40" 0 1 0.0264791913815374 -2.94047326894309 0 3 0.0686334816700916 0.147082491852023 0
"41" 0 1 0.00592814635435704 -3.65736475253786 0 4 0.0686334816700916 0.616968875396162 0
"42" 1 0 0.00223197778016379 -2.87423019154579 0 2 0.0686334816700916 1.12037628525467 0
"43" 1 1 0.0534699964487913 -3.37550857416125 0 4 0.0686334816700916 1.93073100234741 0
"44" 1 0 0.0304661131261216 -3.89272689027461 1 6 0.0686334816700916 1.15253204734302 0
"45" 1 0 0.0686334816700916 -2.91780760200312 0 1 0.0686334816700916 3.280282024176 1
"46" 0 1 0.0117817776589287 -4.33453090619361 0 3 0.0686334816700916 2.33701597866434 0
"47" 1 1 0.0686334816700916 -2.46641680924552 0 3 0.0686334816700916 0.354500165955198 1
"48" 1 1 0.0425083394178181 -3.10439310898066 0 6 0.0686334816700916 0.885664690174129 0
"49" 0 0 0.00191822473719134 -1.07721402941213 0 1 0.0686334816700916 0.417976452899721 0
"50" 0 1 0.029025063359551 -1.45145938053592 0 2 0.0686334816700916 -0.70285947477036 0
"51" 0 1 0.0629851568968806 -3.07471549072851 0 0 0.0686334816700916 0.737638180382835 0
"52" 0 0 0.0686334816700916 -1.35785662650404 0 3 0.0686334816700916 0.84339349067095 1
"53" 0 1 0.0142457122547728 -4.91670938832397 0 0 0.0686334816700916 1.21418665135541 0
"54" 0 1 0.0336505774685709 -3.54915382192396 0 7 0.0686334816700916 1.41484575511801 0
"55" 0 0 0.0686334816700916 -4.06658008760193 0 1 0.0686334816700916 1.31093733823164 1
"56" 0 1 0.00664854075656783 -3.2200073050535 0 5 0.0686334816700916 0.375326486103717 0
"57" 0 1 0.00907846314015093 -3.9988621400968 0 2 0.0686334816700916 1.8231634929049 0
"58" 0 0 0.0108570493752403 -4.07486619299388 0 6 0.0686334816700916 -0.140328519228992 0
"59" 0 1 0.0181627287715062 -3.04618021090655 0 3 0.0686334816700916 2.7318738678042 0
"60" 0 1 0.0686334816700916 -2.70630695475011 0 5 0.0686334816700916 2.90532251714139 1
"61" 0 0 0.0620670339960063 -4.84843739882974 0 3 0.0686334816700916 1.04035643759684 0
"62" 1 1 0.0330015004647137 -3.81162969476197 0 3 0.0686334816700916 0.789400360515109 0
"63" 1 1 0.0438162405301168 -1.67074572979438 0 0 0.0686334816700916 0.0315430519961709 0
"64" 1 1 0.037871554353726 -2.47086753586355 1 4 0.0686334816700916 0.915011012918122 0
"65" 0 1 0.0686334816700916 -3.17280540459296 0 2 0.0686334816700916 0.723110010740648 1
"66" 0 0 0.0223754008760718 -2.7444740809628 0 3 0.0686334816700916 1.15542396910217 0
"67" 0 1 0.0686334816700916 -3.41556215313271 0 1 0.0686334816700916 2.9637976934727 1
"68" 0 0 0.0130957826647453 -4.09028332177984 0 5 0.0686334816700916 1.02984448256902 0
"69" 0 0 0.00491021871821335 -2.93710515965089 0 7 0.0686334816700916 -1.51383458188245 0
"70" 1 0 0.0421518682126358 -2.28834706436952 0 3 0.0686334816700916 1.63844635472489 0
"71" 0 0 0.0221289142608567 -4.72652327958228 0 5 0.0686334816700916 0.924408214665426 0
"72" 0 0 0.0130081961705737 -4.53784413005678 0 0 0.0686334816700916 -0.157335113361228 0
"73" 0 0 0.0686334816700916 -3.10043999401355 0 3 0.0686334816700916 2.09503998819015 1
"74" 1 1 0.0254723733652879 -3.10899478093032 0 4 0.0686334816700916 0.369785733491406 0
"75" 1 1 0.0370929172642006 -1.99023952009242 0 0 0.0686334816700916 1.90473847898529 0
"76" 1 1 0.0262730181185846 -1.42956999796175 0 1 0.0686334816700916 0.18196922982784 0
"77" 1 1 0.0686334816700916 -1.51125012703659 0 2 0.0686334816700916 1.18534943744489 1
"78" 1 0 0.0686334816700916 -3.21371936718463 0 3 0.0686334816700916 1.57805306607412 1
"79" 1 1 0.0347344698162252 -3.54786112556324 0 3 0.0686334816700916 1.90350074118171 0
"80" 0 0 0.0686334816700916 -4.03665148720396 0 3 0.0686334816700916 1.24054330539738 1
"81" 0 0 0.0454572196512575 -3.98686962918137 0 5 0.0686334816700916 2.76232246023163 0
"82" 0 0 0.0403059099892623 -0.168601312681571 0 1 0.0686334816700916 -0.0853641293740119 0
"83" 1 1 0.041284122203143 -2.48936665864974 0 5 0.0686334816700916 0.316337727807162 0
"84" 1 0 0.0249065013530945 -5.19864908219783 0 2 0.0686334816700916 1.1502229748834 0
"85" 0 1 0.0236253095754753 -3.27327626419781 0 0 0.0686334816700916 1.30072447000594 0
"86" 0 1 0.0427129336661923 -3.06523297722166 0 1 0.0686334816700916 1.29318597358495 0
"87" 1 0 0.0686334816700916 -2.57788454200557 0 2 0.0686334816700916 2.27783152438326 1
"88" 0 1 0.00796487124068114 -3.42756898946146 0 2 0.0686334816700916 0.532003433226254 0
"89" 0 1 0.0588882145448694 -3.4636931154769 0 5 0.0686334816700916 0.65587615181089 0
"90" 1 0 0.0158271441456994 -2.75464634377077 0 3 0.0686334816700916 2.60240770671039 0
"91" 1 1 0.0686334816700916 -4.77506180890804 0 2 0.0686334816700916 -0.495975965000115 1
"92" 0 1 0.00728670014192919 -1.84386772973895 0 3 0.0686334816700916 3.94926203147731 0
"93" 0 0 0.00638173563123175 -3.63148964717562 0 2 0.0686334816700916 0.490970588820843 0
"94" 0 0 0.0686334816700916 -4.79275008272173 0 5 0.0686334816700916 0.770192927740104 1
"95" 1 1 0.0686334816700916 -1.94454790857996 0 1 0.0686334816700916 1.49766171343705 1
"96" 0 0 0.0189309584511581 -1.95190178034109 0 3 0.0686334816700916 2.42788567712847 0
"97" 0 1 0.02556030348397 -3.56174797313759 0 1 0.0686334816700916 1.13950052337721 0
"98" 0 1 0.0686334816700916 -4.33036648328425 0 2 0.0686334816700916 0.730902514192729 1
"99" 0 1 0.00927267459176415 -2.45768358324337 0 0 0.0686334816700916 0.584477184216539 0
"100" 1 1 0.0247117043899064 -3.78141960420058 0 3 0.0686334816700916 0.108844179157673 0
"101" 0 0 0.0179676827283736 -2.86051695931148 0 4 0.0686334816700916 1.49373242880234 0
"102" 0 1 0.0686334816700916 -2.78590990044229 0 3 0.0686334816700916 0.737463651714994 1
"103" 0 1 0.0115328311778324 -3.96685301903671 0 2 0.0686334816700916 1.08009287224976 0
"104" 0 1 0.0686334816700916 -3.15813786792347 0 3 0.0686334816700916 0.100508596553519 1
"105" 0 0 0.0126451894670918 -5.71789624161018 0 1 0.0686334816700916 0.400129705470254 0
"106" 1 1 0.035789189542803 -3.22693653728479 1 0 0.0686334816700916 -0.832400765467156 0
"107" 1 1 0.0686334816700916 -2.63387864719672 0 6 0.0686334816700916 1.16874302113298 1
"108" 1 0 0.0318294964992707 -2.71948924850803 0 3 0.0686334816700916 2.31938502959582 0
"109" 0 1 0.0686334816700916 -3.52453092232018 0 4 0.0686334816700916 1.74481882214854 1
"110" 0 1 0.000924758067773731 -3.20518143273133 0 2 0.0686334816700916 2.19794176002485 0
"111" 1 0 0.0686334816700916 -3.55654146384937 0 2 0.0686334816700916 2.68221596653236 1
"112" 1 1 0.0316896669497607 -3.6707111731129 0 2 0.0686334816700916 2.30613478484245 0
"113" 0 0 0.0340475814917089 -2.97960448480024 0 3 0.0686334816700916 1.84609349616002 0
"114" 0 0 0.0686334816700916 -2.94455453387782 0 2 0.0686334816700916 2.27310972860519 1
"115" 1 1 0.0175219148787676 -4.07752287064047 0 7 0.0686334816700916 1.01011479195254 0
"116" 0 0 0.0686334816700916 -2.88670076320727 0 2 0.0686334816700916 0.961270896059347 1
"117" 1 1 0.00889657721718821 -3.14890961481511 0 3 0.0686334816700916 0.581691443577195 0
"118" 1 0 0.0142714752765117 -2.84112437003101 0 1 0.0686334816700916 -0.529625883663519 0
"119" 0 0 0.027199606298371 -3.92703985717084 0 1 0.0686334816700916 -1.13424060601105 0
"120" 1 0 0.00251272445581302 -3.51210320973764 0 4 0.0686334816700916 -0.209444837609009 0
"121" 0 1 0.0686334816700916 -2.27941186685116 0 3 0.0686334816700916 1.51118039543578 1
"122" 0 1 0.011585253170566 -2.93982303966398 0 4 0.0686334816700916 1.84584077426843 0
"123" 0 0 0.036423346877234 -2.70984503543158 0 4 0.0686334816700916 0.0794829049931629 0
"124" 0 1 0.0210331159710435 -2.37941530234051 0 4 0.0686334816700916 2.3040775339894 0
"125" 0 1 0.00307797589045444 -3.66396520521102 0 3 0.0686334816700916 0.130232431774452 0
"126" 0 1 0.0535367471623385 -3.04435772596291 0 3 0.0686334816700916 1.96586512995034 0
"127" 1 1 0.0539624432923411 -0.553882561854867 0 2 0.0686334816700916 1.43490744896271 0
"128" 1 1 0.0686334816700916 -2.14176662222929 0 2 0.0686334816700916 1.55933091081022 1
"129" 0 1 0.00984738887880215 -2.05742138955031 0 7 0.0686334816700916 0.685504394699142 0
"130" 0 1 0.0312437082350363 -3.50441281678429 0 1 0.0686334816700916 0.917373605118799 0
"131" 0 0 0.00610158737495442 -2.71083062395746 0 6 0.0686334816700916 1.00325162932047 0
"132" 1 1 0.0619960251639601 -2.5823223440123 1 1 0.0686334816700916 1.51387651528158 0
"133" 1 0 0.0686334816700916 -3.05093587903697 0 4 0.0686334816700916 -1.15980339424932 1
"134" 0 1 0.028121245094661 -4.72308820010042 0 1 0.0686334816700916 0.0874626565299924 0
"135" 0 0 0.014336141230834 -3.09796698752947 0 4 0.0686334816700916 -0.634071464560088 0
"136" 0 1 0.024050395154791 -2.83310489957488 0 2 0.0686334816700916 2.39817327097435 0
"137" 0 1 0.0496607508047258 -4.14285320464413 0 6 0.0686334816700916 0.684486578986723 0
"138" 0 0 0.00102881668381669 -3.79607949976548 0 2 0.0686334816700916 2.73572789702512 0
"139" 0 0 0.0316088303972099 -3.57008569546935 0 1 0.0686334816700916 1.18701887790573 0
"140" 1 1 0.00208954313448106 -1.67026096653137 1 4 0.0686334816700916 0.794993925451335 0
"141" 1 1 0.0686334816700916 -3.59232531891654 0 3 0.0686334816700916 1.73114355403334 1
"142" 0 1 0.0346526594102747 -3.80053663987663 0 3 0.0686334816700916 1.05725196136345 0
"143" 0 0 0.00336490867863087 -1.27091302021958 0 8 0.0686334816700916 3.39757418346288 0
"144" 1 0 0.00404905903227471 -2.11472380174337 0 2 0.0686334816700916 -0.154818101642772 0
"145" 0 1 0.0686334816700916 -3.69591091826152 0 4 0.0686334816700916 -0.32741050495612 1
"146" 1 1 0.0274190447141938 -1.92021984107797 0 2 0.0686334816700916 2.41077547562043 0
"147" 1 1 0.0517349459957115 -3.68447986089068 0 4 0.0686334816700916 0.703542156404137 0
"148" 0 1 0.0224408395539039 -2.3169455192264 0 5 0.0686334816700916 -0.291943119267715 0
"149" 0 0 0.0140084233397624 -2.37260217318505 0 6 0.0686334816700916 0.894403995341333 0
"150" 0 1 0.022678829068939 -3.57753017866989 0 1 0.0686334816700916 2.35584331943028 0
"151" 0 0 0.0686334816700916 -3.19780624094771 0 1 0.0686334816700916 2.41125013977977 1
"152" 1 0 0.00261145462449847 -3.05953638685253 0 7 0.0686334816700916 -0.790268485701947 0
"153" 0 1 0.0686334816700916 -2.18031979914367 0 3 0.0686334816700916 1.63624664318343 1
"154" 0 0 0.0686334816700916 -2.74743309941689 0 2 0.0686334816700916 0.28694342177779 1
"155" 1 1 0.000650919355347219 -2.34113074039502 0 4 0.0686334816700916 1.45932323992271 0
"156" 1 0 0.00410865530210238 -1.90916062473993 0 5 0.0686334816700916 -0.514498328848627 0
"157" 1 1 0.0594178434849683 -3.79972139070363 0 2 0.0686334816700916 1.37035764348936 0
"158" 1 1 0.0139850480131287 -2.27089620096886 0 2 0.0686334816700916 0.900124476359286 0
"159" 0 0 0.0686334816700916 -3.79167377700371 0 3 0.0686334816700916 2.26467538039016 1
"160" 1 0 0.0188171506173683 -1.75962234758591 0 2 0.0686334816700916 1.04021340945764 0
"161" 1 0 0.0175183541471739 -4.85177815516872 1 5 0.0686334816700916 1.93015659783805 0
"162" 0 0 0.0235150112530529 -2.41044774894211 0 2 0.0686334816700916 0.367779580754111 0
"163" 0 1 0.0686334816700916 -3.50866750187986 0 4 0.0686334816700916 2.22673621724786 1
"164" 0 1 0.0600909602144786 -2.47583135040015 0 3 0.0686334816700916 1.74779141492234 0
"165" 0 0 0.0589061611856452 -2.53621835989817 0 2 0.0686334816700916 0.204864591025581 0
"166" 0 1 0.017676191890095 -3.15432648443421 1 4 0.0686334816700916 0.244178507520502 0
"167" 0 1 0.0686334816700916 -4.68080922226252 0 1 0.0686334816700916 1.68274602088937 1
"168" 1 1 0.0109024319989442 -1.53739804559522 0 4 0.0686334816700916 0.691522602122181 0
"169" 1 1 0.00612876434152977 -2.01798071988964 0 3 0.0686334816700916 0.807208130157476 0
"170" 1 1 0.0648888887529637 -3.42690607975672 0 5 0.0686334816700916 2.86730234443687 0
"171" 0 1 0.0604241910752811 -2.8800497162077 0 2 0.0686334816700916 1.13428010617579 0
"172" 0 1 0.0490254558619917 -2.86087776559649 0 4 0.0686334816700916 0.549129100029095 0
"173" 0 0 0.0686334816700916 -2.50807883732861 0 4 0.0686334816700916 -1.12017629686027 1
"174" 1 0 0.0499891456794858 -3.2741019303987 0 2 0.0686334816700916 -1.25380836654178 0
"175" 1 1 0.0417450076276459 -1.89732632782239 0 3 0.0686334816700916 -0.177120605540452 0
"176" 0 1 0.0072241226972421 -3.3895264403424 0 2 0.0686334816700916 0.405591853470472 0
"177" 1 1 0.0686334816700916 -2.40455807068058 0 2 0.0686334816700916 0.412835693499632 1
"178" 1 0 0.0510982484395092 -3.70618690788566 0 3 0.0686334816700916 0.187325218288318 0
"179" 0 0 0.0686334816700916 -2.89143697733987 0 3 0.0686334816700916 2.29807479617442 1
"180" 1 1 0.0106256128889312 -3.00447163650366 0 3 0.0686334816700916 1.68237896076411 0
"181" 0 1 0.0482458414789805 -4.24267156421406 1 3 0.0686334816700916 0.719017639219387 0
"182" 1 1 0.0686334816700916 -3.39848605203002 0 2 0.0686334816700916 -0.519772149582022 1
"183" 1 0 0.0616204363147637 -5.36686301982983 0 1 0.0686334816700916 1.41256486656861 0
"184" 1 0 0.0349243783109507 -1.84230465955724 0 2 0.0686334816700916 1.3067496119076 0
"185" 0 0 0.0531264913264118 -5.3150828482422 1 6 0.0686334816700916 0.726887287944634 0
"186" 0 0 0.0101041060311066 -4.07850247101624 0 4 0.0686334816700916 0.599617186829713 0
"187" 0 0 0.0115110229180509 -4.0505379409603 0 1 0.0686334816700916 -1.79349321707968 0
"188" 0 0 0.0454785909242486 -2.01028451548265 0 5 0.0686334816700916 1.9404273922269 0
"189" 0 1 0.0686334816700916 -2.34880773342798 0 4 0.0686334816700916 0.332401788076173 1
"190" 1 0 0.00472042526152433 -3.80440505867072 0 7 0.0686334816700916 -2.0922907485031 0
"191" 1 1 0.0307941560404602 -3.67365929483785 0 0 0.0686334816700916 1.77594483867452 0
"192" 0 0 0.000723118638622799 -2.36122765724208 1 4 0.0686334816700916 1.08397396002118 0
"193" 0 0 0.0162443929301634 -1.95184845919569 0 4 0.0686334816700916 2.9231128221934 0
"194" 1 1 0.0556633268295438 -4.24325375415664 0 4 0.0686334816700916 1.00637000100696 0
"195" 1 1 0.0062589567723359 -2.58018835985345 0 0 0.0686334816700916 2.23475787495279 0
"196" 0 0 0.0204955091879072 -1.27558594420214 0 4 0.0686334816700916 1.01733169485042 0
"197" 0 0 0.0444157121205019 -2.49767423361763 0 5 0.0686334816700916 0.979133647697985 0
"198" 0 0 0.0111819440024826 -3.44822147441998 0 4 0.0686334816700916 2.37897416205289 0
"199" 0 0 0.0176901170118381 -0.764267112675162 0 1 0.0686334816700916 1.49156274279784 0
"200" 1 1 0.0464783636176977 -3.22722031141085 0 5 0.0686334816700916 2.11468238459804 0
"201" 0 0 0.0253737317523455 -2.74084651013671 0 2 0.0686334816700916 -0.0207476546805585 0
"202" 1 0 0.0686334816700916 -2.6215568113763 0 3 0.0686334816700916 1.81373530835906 1
"203" 1 0 0.0297060952571506 -3.49618729118176 0 0 0.0686334816700916 0.596165703455488 0
"204" 1 0 0.0425012909778628 -4.11972763531862 0 3 0.0686334816700916 0.732785830989228 0
"205" 0 1 0.00517070956941596 -2.6852848776961 0 3 0.0686334816700916 1.10581407202222 0
"206" 1 1 0.0428000143455043 -2.1374676287799 0 0 0.0686334816700916 2.79176547137758 0
"207" 1 1 0.0290686731901774 -3.34486355771215 0 3 0.0686334816700916 1.06196624534469 0
"208" 1 1 0.0473940058606395 -4.53775834884398 0 2 0.0686334816700916 0.73310050835521 0
"209" 0 1 0.0686334816700916 -1.99833383172732 0 3 0.0686334816700916 2.64518142829588 1
"210" 0 1 0.00174235419368745 -1.45418613590468 0 3 0.0686334816700916 0.711409185102087 0
"211" 0 1 0.0686334816700916 -3.75146284929215 0 9 0.0686334816700916 0.444523540747737 1
"212" 1 0 0.0647937283966989 -1.97613146692262 0 2 0.0686334816700916 1.02696453919491 0
"213" 0 0 0.0100164899087715 -2.88746440659378 0 6 0.0686334816700916 -0.27405809671927 0
"214" 0 0 0.0309652216161956 -1.66020856950168 0 2 0.0686334816700916 1.09939488500229 0
"215" 0 0 0.0686334816700916 -2.03430959504582 0 7 0.0686334816700916 2.39639987699945 1
"216" 1 0 0.0686334816700916 -2.02560892458189 0 4 0.0686334816700916 1.69395258971273 1
"217" 1 0 0.0686334816700916 -4.02599626674332 0 3 0.0686334816700916 1.32042167868576 1
"218" 1 1 0.00910067289106325 -3.50297388642484 0 1 0.0686334816700916 1.64772956123791 0
"219" 0 0 0.0471614582435406 -3.6038107795787 0 4 0.0686334816700916 -1.09471790123815 0
"220" 0 1 0.0444592403788859 -3.60387710246206 0 4 0.0686334816700916 0.830136585600955 0
"221" 0 1 0.0686334816700916 -2.5794607309235 0 2 0.0686334816700916 1.80898536603121 1
"222" 0 1 0.0299997921482654 -1.21979137441461 0 0 0.0686334816700916 1.61242750229252 0
"223" 1 1 0.0131923969744928 -2.47776273655358 0 5 0.0686334816700916 0.573151298106169 0
"224" 1 1 0.0436964349449365 -2.98087861314022 0 2 0.0686334816700916 1.81614984225903 0
"225" 0 0 0.0686334816700916 -3.83400507727425 0 2 0.0686334816700916 0.0137785458735487 1
"226" 1 0 0.0686334816700916 -3.29052260357295 0 0 0.0686334816700916 0.955583526796005 1
"227" 0 1 0.00926515413199012 -3.71122171872596 0 3 0.0686334816700916 2.35691292698987 0
"228" 0 0 0.0686334816700916 -2.84961837368586 1 0 0.0686334816700916 0.326444579711226 1
"229" 0 1 0.0686334816700916 -5.25755365476916 0 3 0.0686334816700916 1.82742535442654 1
"230" 0 1 0.0172515853795409 -0.333978703725803 0 4 0.0686334816700916 2.22784794287179 0
"231" 0 0 0.00898392779473781 -2.47565951210248 0 3 0.0686334816700916 1.09312542930173 0
"232" 0 0 0.0136877265649023 -3.40448220576148 0 5 0.0686334816700916 0.528416233884231 0
"233" 1 0 0.00531432936468817 -2.45247982226782 0 2 0.0686334816700916 0.368779225526435 0
"234" 1 1 0.0133594563832409 -2.31309039250825 0 1 0.0686334816700916 -0.233507999155 0
"235" 0 1 0.0686334816700916 -4.10863928146174 0 1 0.0686334816700916 0.896384798359862 1
"236" 0 1 0.000176220421099825 -1.55148456996428 0 4 0.0686334816700916 0.472788810396778 0
"237" 0 0 0.00794932361576045 -1.40017166574571 0 1 0.0686334816700916 1.97808106567756 0
"238" 1 1 0.0686334816700916 -2.7766496712749 0 2 0.0686334816700916 1.70307553405176 1
"239" 1 0 0.00963001497380557 -3.97493673157475 0 0 0.0686334816700916 0.624152311516296 0
"240" 1 1 0.0181058306020617 -3.5115233912958 0 4 0.0686334816700916 0.600528634622487 0
"241" 0 0 0.0225932186145077 -2.24681491394727 0 5 0.0686334816700916 1.06634714747501 0
"242" 1 1 0.0686334816700916 -1.92789764526363 0 4 0.0686334816700916 2.06787709825503 1
"243" 1 0 0.0631480106027432 -2.69212143962808 1 5 0.0686334816700916 0.886441626774939 0
"244" 1 1 0.0686334816700916 -3.0187418501398 0 0 0.0686334816700916 2.02425010628011 1
"245" 0 0 0.0686334816700916 -1.32577489445092 0 1 0.0686334816700916 0.616135779082554 1
"246" 1 0 0.0686334816700916 -2.65579184206273 0 3 0.0686334816700916 1.84999582579974 1
"247" 1 0 0.0611583804824967 -1.93393862056232 0 5 0.0686334816700916 0.631687875847089 0
"248" 0 0 0.0659353281178784 -3.23129888913671 0 2 0.0686334816700916 2.62007008838326 0
"249" 0 0 0.0686334816700916 -4.50782826087213 0 3 0.0686334816700916 0.0488095857825391 1
"250" 0 0 0.00581646771362689 -2.96859886032992 0 6 0.0686334816700916 -0.30573169130498 0
"251" 0 1 0.041147920331554 -2.83438768306471 0 2 0.0686334816700916 0.825648583154015 0
"252" 1 1 0.0686334816700916 -3.68259450763035 0 1 0.0686334816700916 0.57350481851672 1
"253" 0 1 0.0686334816700916 -4.77511916615705 0 3 0.0686334816700916 0.554546338676692 1
"254" 0 0 0.00565300219329833 -2.96408684057185 0 2 0.0686334816700916 0.51935785220612 0
"255" 1 0 0.0686334816700916 -4.05591094704284 0 4 0.0686334816700916 2.45002664772972 1
"256" 1 1 0.0308453832768461 -2.33644772179164 0 2 0.0686334816700916 2.02832366490533 0
"257" 0 1 0.0092299182754714 -4.47849084637814 0 4 0.0686334816700916 0.280342544696934 0
"258" 0 0 0.0229728196254589 -4.10614330471407 0 5 0.0686334816700916 0.792216053634948 0
"259" 1 1 0.0478885137997028 -1.76193440246759 0 4 0.0686334816700916 2.20613411357489 0
"260" 1 1 0.0686334816700916 -3.62087164206229 1 1 0.0686334816700916 0.502571421660598 1
"261" 0 0 0.0256270223427216 -4.4339359370585 0 3 0.0686334816700916 0.323053991531955 0
"262" 1 1 0.0293845407458738 -3.91869711488963 0 0 0.0686334816700916 2.59266100078539 0
"263" 0 1 0.0224345349721672 -0.748768400584806 0 1 0.0686334816700916 1.79596379111947 0
"264" 1 1 6.89571627313651e-05 -1.64755152889625 0 1 0.0686334816700916 1.6253379807417 0
"265" 1 1 0.0219769916896665 -1.59965801076638 0 3 0.0686334816700916 1.19626323301051 0
"266" 1 0 0.0686334816700916 -3.81469752584684 0 3 0.0686334816700916 0.984366250485289 1
"267" 0 0 0.0207329703572638 -2.76011226045498 0 5 0.0686334816700916 -1.72807441744438 0
"268" 0 0 0.0686334816700916 -4.89884917876916 0 7 0.0686334816700916 2.88708236660915 1
"269" 1 0 0.0188246494294537 -3.63544757904091 0 5 0.0686334816700916 0.184421928006377 0
"270" 1 1 0.0106625584704775 -2.088773092457 0 1 0.0686334816700916 0.99964581523098 0
"271" 1 0 0.0686334816700916 -3.59747745330018 0 2 0.0686334816700916 0.191183000984583 1
"272" 1 1 0.0184940250335812 -2.03393759099393 0 2 0.0686334816700916 0.687975142698486 0
"273" 0 0 0.0419158898536972 -4.01251047972742 0 3 0.0686334816700916 1.932887322975 0
"274" 0 0 0.0109547662408511 -2.29037091272308 0 2 0.0686334816700916 1.05430637065262 0
"275" 1 0 0.0253494389599313 -0.844155692851759 0 4 0.0686334816700916 1.08637563903736 0
"276" 1 0 0.0540307603610506 -1.98514026350261 0 5 0.0686334816700916 0.393647310012911 0
"277" 0 1 0.0518476064648509 -2.43811444422505 0 6 0.0686334816700916 0.996866400147081 0
"278" 0 1 0.0201630684868367 -1.81394853952347 0 5 0.0686334816700916 3.23348488060202 0
"279" 1 0 0.0344561001527502 -3.37769554714584 0 1 0.0686334816700916 0.276599120998666 0
"280" 0 1 0.0606437241784197 -3.12120509433524 0 3 0.0686334816700916 1.63040383465431 0
"281" 0 0 0.0474143738437774 -2.38901439340387 1 2 0.0686334816700916 1.46795962206532 0
"282" 0 1 0.0686334816700916 -4.3893254809805 0 2 0.0686334816700916 0.844600834441462 1
