"A" "M_cont" "M_bin" "M_cat" "contY_binMcontM_noint" "contY_catMbinM_noint" "contY_catMcontM_noint" "binY_binMcontM_noint" "binY_catMbinM_noint" "binY_catMcontM_noint" "countY_binMcontM_noint" "countY_catMbinM_noint" "countY_catMcontM_noint" "C"
"17" 0 0.219192187384034 1 0 -3.37762704289403 -3.37679889227991 -4.28575157428695 1 0 0 0 2 3 2.13508763383058
"18" 0 0.24773843855695 1 1 -3.1847731128489 -1.04257692367039 -3.24700501656567 0 0 0 3 2 3 2.09280919355302
"19" 0 -0.572751719797953 0 0 -6.21775621582831 -5.17012756900932 -6.28349032721105 0 0 0 9 6 5 -0.0839065442870499
"20" 1 0.319604516120866 0 0 -3.44054686887869 -3.84752476970576 -3.3504002666258 0 0 0 2 3 7 0.0435411738387445
"21" 0 -0.439522720603755 0 0 -5.87282488485078 -5.14478911312188 -6.01547499332669 0 0 0 4 7 6 -0.613346849337158
"22" 1 0.639748417597294 1 2 -1.52288761565573 -1.099780483066 -1.28274160616737 0 1 0 1 1 1 1.99794902251801
"23" 0 0.149425333345428 0 0 -4.66800802936717 -4.52339826991255 -4.44306702567602 0 0 0 7 5 4 1.801066684137
"24" 1 0.649894305291161 0 1 -3.05649351629314 -2.20284645203542 -1.80050937987669 0 0 0 1 4 0 1.8201047760212
"25" 0 0.0434439559962945 1 2 -3.28562828548374 -1.91461279504946 -3.07563552649346 0 0 0 3 2 5 0.907206235377292
"26" 0 -0.252078068692714 0 0 -5.4039980656227 -4.63896124388182 -5.63106904931886 0 0 0 2 3 10 0.687748142337789
"27" 1 0.71122948130076 1 1 -1.70578258422498 -0.523907745506313 -1.11528973688606 0 1 1 2 0 1 2.93903076500336
"28" 1 0.191459403320558 1 1 -2.51556748083332 -0.802820477971865 -2.77909172637927 0 0 0 1 0 4 0.319515920143305
"29" 0 -0.115880264338963 1 2 -3.81310958363556 -2.19018747013532 -3.30375315602812 0 0 0 4 3 4 0.950920794601604
"30" 0 -0.0293128069365413 0 2 -4.93101992257449 -3.28315846880113 -3.44986758052567 0 0 0 8 4 2 1.12000937081117
"31" 0 -0.206280297744585 1 0 -4.09966665598827 -3.45776017087824 -5.22094958177318 0 0 0 7 0 7 -0.308588787887879
"32" 1 0.552736115762776 1 0 -1.81746375433492 -2.38968409307172 -3.08460177126874 0 0 0 0 3 2 1.59255501738923
"33" 0 -0.426888819861318 1 1 -4.73643604933152 -1.50834088824368 -4.40031453653652 0 1 0 5 3 6 -0.0403843740072645
"34" 1 0.196952148645885 0 0 -3.92848447608304 -4.71828402131357 -3.61249790449838 0 0 0 2 6 4 -0.195258393896444
"35" 1 0.112603609832848 1 1 -3.08601186208387 -1.00804421514888 -2.93134923656023 0 0 0 2 0 2 -0.835423309976087
"36" 1 0.382014791263585 0 2 -3.05867811295724 -2.98914848197847 -1.9268880624017 0 0 0 1 4 2 1.09616533076723
"37" 0 -0.0750255835965961 0 0 -4.91053571491167 -4.67395128586535 -4.81576975289225 0 0 0 3 6 5 1.19065479294453
"38" 1 0.480282761589114 1 1 -2.13951637743438 -0.762172017445159 -1.98930133157263 0 1 0 3 0 3 1.36148211784239
"39" 1 0.569168893735807 1 0 -1.41863439295166 -2.21822625440545 -3.51673011525002 0 0 0 2 2 4 1.93399699763769
"40" 0 -0.0860585238450076 1 0 -4.1207979745622 -3.952692807165 -5.06420833305977 0 0 0 7 2 6 0.147082491852023
"41" 0 -0.106167589192946 1 1 -3.92186819533305 -1.61312529422522 -3.69130432420309 0 0 0 2 1 4 0.616968875396162
"42" 1 0.427359785255838 1 1 -2.58422683315088 -0.71308936056163 -2.04709121154258 0 1 0 3 1 2 1.12037628525467
"43" 1 0.813454869132027 1 1 -1.52989125509846 -0.823029826792478 -1.34082411500169 0 1 0 0 0 1 1.93073100234741
"44" 1 0.483253826550065 0 0 -3.49168061803703 -4.2572889977671 -3.33629764566171 0 0 1 2 4 4 1.15253204734302
"45" 1 0.856612355651635 0 2 -2.39632646441867 -2.52019072685403 -1.09141358279403 0 0 0 3 1 0 3.280282024176
"46" 0 0.0600285089790348 1 2 -3.40049496087175 -1.58559723753337 -3.14076883849105 0 0 0 4 2 7 2.33701597866434
"47" 1 0.294901856151673 1 2 -2.36910078308079 -1.46648484454165 -2.3101671331553 0 0 0 4 2 1 0.354500165955198
"48" 1 0.408170324910479 1 1 -2.0467856591419 -0.815981643185291 -2.12354796828829 1 1 0 5 0 5 0.885664690174129
"49" 0 -0.297207046644727 0 1 -5.46376574700107 -3.23018164402831 -4.59559294585972 0 0 0 4 5 4 0.417976452899721
"50" 0 -0.428769142012376 1 1 -4.8968445415716 -1.64880288705013 -4.70899377867994 0 1 0 4 0 8 -0.70285947477036
"51" 0 -0.0240858548330375 1 1 -3.83702494744015 -1.64984569475352 -3.72650881730146 0 0 0 2 2 2 0.737638180382835
"52" 0 -0.0277451689933999 0 2 -5.03453817026647 -3.32578528300521 -3.45875079073393 0 0 0 5 4 5 0.84339349067095
"53" 0 -0.106562736298677 1 2 -3.44712828701855 -2.31632087430486 -3.52850222023613 0 0 0 2 0 5 1.21418665135541
"54" 0 0.0781565721545118 1 0 -3.46190951936727 -3.41954367554091 -4.68717175499563 0 0 0 3 0 8 1.41484575511801
"55" 0 -0.0364308225963543 0 2 -4.76409394302516 -3.50824598281046 -3.29207931395929 1 0 0 4 1 4 1.31093733823164
"56" 0 -0.216665130038119 1 1 -4.63664674792857 -1.46044782093724 -4.05470297809123 0 0 0 3 0 8 0.375326486103717
"57" 0 0.139035532326876 1 1 -3.26115134619282 -1.46042671462929 -3.6011860115024 0 0 0 5 2 3 1.8231634929049
"58" 0 -0.320318296981035 0 1 -5.96021865635974 -3.35275728422378 -4.57724821583016 0 0 0 8 2 2 -0.140328519228992
"59" 0 0.148404822549678 1 2 -3.49342257058491 -2.09755333103394 -3.13414409392355 0 0 0 3 3 3 2.7318738678042
"60" 0 0.332466531839573 1 0 -2.83672668947978 -2.86405264803134 -4.02035455881399 0 0 0 2 2 6 2.90532251714139
"61" 0 0.186028253790514 0 0 -4.49890532999837 -5.00279693424036 -4.73354691078996 0 0 0 4 8 5 1.04035643759684
"62" 1 0.356118243147774 1 1 -2.46232811616232 -0.724006361195721 -2.30169996717414 0 0 0 1 1 2 0.789400360515109
"63" 1 0.252792073660442 1 0 -2.82526798023826 -2.64867135685729 -3.73962459139935 0 0 0 1 4 2 0.0315430519961709
"64" 1 0.39194239201352 1 0 -2.57538678728405 -2.80788170191435 -3.48826803093941 0 0 0 2 2 6 0.915011012918122
"65" 0 -0.0577906849759806 1 2 -3.88888748041409 -1.97149836368375 -3.58814547854146 0 0 1 8 3 3 0.723110010740648
"66" 0 -0.0231451959264027 0 0 -4.77273048118082 -4.59675210497653 -5.0156822769716 0 0 0 2 6 4 1.15542396910217
"67" 0 0.372129712037881 1 1 -3.01712919859773 -1.68860651154935 -3.04948025884335 0 0 0 3 1 2 2.9637976934727
"68" 0 -0.347240497953271 0 2 -5.56727104108778 -3.39411227700676 -3.9623403207884 0 0 0 4 6 3 1.02984448256902
"69" 0 -0.362753684118869 0 0 -5.83440273100215 -5.21038870748533 -5.65175071357378 0 0 0 6 5 8 -1.51383458188245
"70" 1 0.448250897199599 0 0 -3.59163637479516 -3.56869468809131 -2.92762594131108 0 0 0 5 7 3 1.63844635472489
"71" 0 -0.15078639685303 0 0 -5.52114814372369 -4.92123842717113 -5.40557166439297 0 0 0 6 9 5 0.924408214665426
"72" 0 -0.22754976763264 0 1 -5.56107832421335 -3.41966889484772 -4.16412968019838 0 0 0 7 6 3 -0.157335113361228
"73" 0 0.185752503387192 0 2 -4.10050269817241 -3.64716825281339 -3.15028559497204 0 0 0 9 11 6 2.09503998819015
"74" 1 0.361522610824553 1 1 -2.14347479777377 -0.781042242227439 -2.10764750416926 0 1 0 2 0 3 0.369785733491406
"75" 1 0.494253775889957 1 1 -1.6810803380661 -0.684366861245312 -2.24221148958854 0 0 0 2 0 1 1.90473847898529
"76" 1 0.176667918101748 1 0 -2.53312797866513 -2.64036350306031 -3.92118894572717 0 0 0 3 5 5 0.18196922982784
"77" 1 0.471938767316134 1 2 -2.09344065100687 -1.21784704360079 -1.85819021448425 0 0 0 3 2 0 1.18534943744489
"78" 1 0.602838542389052 0 2 -2.68049027220234 -2.88440570178244 -1.62322114197684 0 1 0 5 4 1 1.57805306607412
"79" 1 0.677440646383405 1 1 -1.50340093982718 -0.617968122029444 -1.57222196504902 0 0 0 3 0 2 1.90350074118171
"80" 0 -0.000521147460937115 0 0 -4.98537319905833 -4.83784836296629 -4.6706173665194 0 0 0 5 6 1 1.24054330539738
"81" 0 0.220306872696563 0 1 -4.40944561041289 -2.68367178878359 -3.63832282827524 0 0 0 5 2 2 2.76232246023163
"82" 0 -0.311482059535967 0 2 -5.70281614837593 -3.68855267198577 -3.99361725653206 0 0 0 6 1 4 -0.0853641293740119
"83" 1 0.151453872502274 1 1 -2.52040485862912 -0.684431363899842 -2.28702813208143 0 0 0 3 2 1 0.316337727807162
"84" 1 0.404384333650333 0 2 -3.88721648648043 -2.8029465814291 -1.74533423598741 0 0 0 4 1 3 1.1502229748834
"85" 0 0.119943011457724 1 0 -3.24693236615524 -3.38169112362095 -4.69446877731536 0 0 0 1 0 3 1.30072447000594
"86" 0 0.152176986170481 1 2 -3.42047956615959 -2.15375295078394 -2.98720508520313 0 0 0 0 5 4 1.29318597358495
"87" 1 0.773276760207847 0 0 -2.84886895379212 -4.02814548238419 -2.91151692954115 0 0 0 2 7 4 2.27783152438326
"88" 0 -0.0352493533220578 1 2 -3.95563972722913 -2.3221087009953 -3.53881060967591 0 0 0 4 4 4 0.532003433226254
"89" 0 -0.162366744104389 1 2 -3.66712527766081 -2.20911744044721 -3.62979414703598 0 0 0 5 3 1 0.65587615181089
"90" 1 0.789343937583696 0 2 -2.54733268229582 -3.01567950775375 -1.21831823360577 0 0 0 4 3 2 2.60240770671039
"91" 1 0.114837640392961 0 0 -4.41746271662638 -4.43203823968642 -4.25679381968517 0 0 0 5 3 2 -0.495975965000115
"92" 0 0.747708120678989 1 0 -2.28267593068846 -2.91330157538046 -3.32727708821695 0 0 0 2 3 2 3.94926203147731
"93" 0 -0.202010459417761 0 0 -5.33361150656678 -5.15310559915133 -5.24955744210885 0 0 0 6 5 4 0.490970588820843
"94" 0 -0.101622293350096 0 0 -5.35718432262267 -4.92472501987562 -5.06899330269607 0 0 0 5 4 1 0.770192927740104
"95" 1 0.584982719947733 1 1 -1.69718849344753 -0.257221320266627 -1.67190868275876 0 1 0 1 0 1 1.49766171343705
"96" 0 0.214216222430131 0 0 -4.62310839636422 -4.67617671767787 -4.45634987619249 0 0 0 9 3 0 2.42788567712847
"97" 0 0.151416338217479 1 2 -3.35675574563103 -2.00991181294493 -3.14122877911889 0 0 0 4 1 1 1.13950052337721
"98" 0 -0.222707554999821 1 2 -4.47359577913906 -2.40427480631225 -4.15733847048211 0 0 0 3 3 5 0.730902514192729
"99" 0 -0.0714557564992735 1 1 -4.03980877863067 -1.44784330167306 -3.91995417954523 0 0 0 3 0 6 0.584477184216539
"100" 1 0.307943831734705 1 1 -2.5637461960787 -1.22071043721272 -2.62146908769273 1 0 0 7 0 4 0.108844179157673
"101" 0 -0.00232696914815803 0 0 -4.8450115914935 -4.98882586553895 -4.80577247893179 0 0 0 9 4 7 1.49373242880234
"102" 0 -0.278448396933601 1 2 -4.33142409762914 -1.87064267877516 -3.79257157460889 0 0 0 5 5 4 0.737463651714994
"103" 0 -0.111483424988121 1 1 -3.91175742194799 -1.32164906911379 -3.88897585682144 0 1 0 3 0 5 1.08009287224976
"104" 0 -0.377513960452583 1 0 -4.87522478646309 -3.50608373534584 -5.73046265219391 0 0 0 2 4 6 0.100508596553519
"105" 0 -0.134086763409928 0 1 -5.21442132639782 -2.95875241595666 -3.86917937587848 1 0 0 3 5 7 0.400129705470254
"106" 1 0.00379477451321092 0 2 -3.86590436236559 -3.23529415501825 -2.96531938345431 0 0 0 4 2 0 -0.832400765467156
"107" 1 0.530280362968235 1 2 -1.81623845357702 -1.52989604598137 -1.09368144716097 0 0 0 2 2 1 1.16874302113298
"108" 1 0.811777134723684 0 2 -2.52878818942736 -3.00306658894688 -1.03101212942246 0 0 0 1 6 0 2.31938502959582
"109" 0 0.198321611081331 1 0 -3.06408566807251 -3.14039046276272 -4.44991097334358 0 0 0 6 3 1 1.74481882214854
"110" 0 0.16541807988774 1 0 -3.34809670616418 -3.05947883863569 -4.26827440883812 0 0 0 7 5 5 2.19794176002485
"111" 1 0.778417735816442 0 0 -2.28271837537078 -3.81051756519406 -2.25394362047098 0 0 0 1 2 1 2.68221596653236
"112" 1 0.648857223451848 1 1 -1.53960127149328 -0.463416140439846 -1.76133185432936 0 0 0 2 2 2 2.30613478484245
"113" 0 0.143539173166989 0 0 -4.63841456737196 -4.54747030209773 -4.22390219714878 0 0 0 5 7 8 1.84609349616002
"114" 0 0.209223768505211 0 2 -4.39934214074024 -3.45483210093534 -3.0411054640363 0 0 0 6 3 3 2.27310972860519
"115" 1 0.438562759838809 1 2 -1.79404650866832 -1.03294690999878 -1.73045902189151 0 1 0 0 1 2 1.01011479195254
"116" 0 -0.0358306184560465 0 1 -4.59364990782151 -2.89193174548157 -3.77989827073154 0 0 0 9 3 8 0.961270896059347
"117" 1 0.365295546226359 1 2 -2.2336644527979 -1.39852444313035 -1.84552404362878 0 1 0 1 1 0 0.581691443577195
"118" 1 0.215616080706468 1 2 -2.73840638190007 -1.69858809728689 -2.33619261071214 0 0 0 2 3 1 -0.529625883663519
"119" 0 -0.415903462282436 0 0 -6.03668074666378 -5.33668875134205 -6.04502600627828 0 0 0 7 8 9 -1.13424060601105
"120" 1 0.250756616336207 0 0 -3.75814209789855 -4.27044547914677 -3.65607761563908 0 0 0 3 3 1 -0.209444837609009
"121" 0 0.0568921094000863 1 2 -3.43892239345248 -2.10873214226384 -3.02053303219926 0 0 0 4 4 6 1.51118039543578
"122" 0 0.10771956350341 1 2 -3.11702593770955 -2.07961473552087 -3.1571750307865 0 0 0 2 1 6 1.84584077426843
"123" 0 -0.300544538635403 0 0 -5.23107123420454 -4.93053877976858 -5.82491670820357 0 0 0 8 2 11 0.0794829049931629
"124" 0 0.130090029881852 1 1 -3.38546741816953 -1.52500283435228 -3.24790868705369 0 0 0 4 3 1 2.3040775339894
"125" 0 -0.133152967009582 1 0 -4.1140576955954 -3.47843026212209 -5.23679061483116 0 0 0 4 2 2 0.130232431774452
"126" 0 0.267600214558397 1 2 -2.96831908408582 -2.13884277543261 -2.75766419753648 0 0 0 2 4 3 1.96586512995034
"127" 1 0.477979445687103 1 2 -2.32650048732504 -1.28919870631156 -1.60373265252023 0 0 1 0 1 0 1.43490744896271
"128" 1 0.551332885192364 1 1 -1.89591724493375 -0.620977819826334 -1.73261724750932 1 0 0 1 0 1 1.55933091081022
"129" 0 -0.189679353498537 1 0 -3.81274233424177 -3.51866767997727 -5.5513074612527 0 0 0 3 4 3 0.685504394699142
"130" 0 -0.070445914447671 1 2 -3.9444670813185 -2.35151199683143 -3.533096543948 0 0 0 6 2 4 0.917373605118799
"131" 0 -0.100259785033604 0 1 -5.22042181832577 -2.81043205801609 -4.13225849869337 0 0 0 2 3 5 1.00325162932047
"132" 1 0.480296762653385 1 2 -2.07177922097496 -1.68640527215033 -1.91271995865624 0 1 1 2 4 4 1.51387651528158
"133" 1 -0.0232717214738648 1 0 -3.07765599465796 -2.72492282134604 -4.14489118102428 0 0 0 1 0 2 -1.15980339424932
"134" 0 -0.321543608315158 1 0 -4.36623717057003 -3.40710698376615 -5.77614907428967 0 0 0 12 1 3 0.0874626565299924
"135" 0 -0.255763810616874 0 2 -5.21607464971068 -3.90146862181983 -4.2660005420916 0 0 0 6 6 2 -0.634071464560088
"136" 0 0.193905150953331 1 2 -3.0408314816824 -2.20873399273526 -2.56754047930148 0 0 0 5 7 2 2.39817327097435
"137" 0 -0.131958543803545 1 1 -4.13856878670312 -1.68130492958904 -4.28090373663183 0 0 0 7 1 6 0.684486578986723
"138" 0 0.312337270816115 0 2 -3.95473530886489 -3.41852312650488 -2.57928595880913 0 0 0 3 7 1 2.73572789702512
"139" 0 -0.0513938430363392 0 0 -5.04531465973323 -4.72456295438435 -5.15579126322638 0 0 0 6 2 2 1.18701887790573
"140" 1 0.400011204834533 1 0 -1.95987719005519 -2.50850622126115 -3.58231922924208 0 0 0 2 2 5 0.794993925451335
"141" 1 0.664035205620417 1 0 -1.86301512130823 -2.43392505319763 -2.74328258343544 0 0 0 1 1 2 1.73114355403334
"142" 0 -0.241450512375395 1 2 -4.29392011483751 -1.90260318922948 -3.54364176044618 0 0 0 8 4 9 1.05725196136345
"143" 0 0.408871292252321 0 0 -3.81533581510874 -4.91880067935458 -3.91263094434336 0 0 0 3 6 2 3.39757418346288
"144" 1 0.257339660650329 0 1 -3.66389889812064 -2.54265290039235 -2.32371399321573 0 0 0 5 2 1 -0.154818101642772
"145" 0 -0.189431754392626 1 0 -3.86449813556498 -3.67408261481946 -5.39403593989766 0 0 0 4 1 10 -0.32741050495612
"146" 1 0.8555158587148 1 0 -1.48526540510055 -2.36814985553427 -2.4506213749247 0 0 0 2 3 4 2.41077547562043
"147" 1 0.373932532237101 1 0 -1.94099108095943 -2.70970500706876 -3.35142370259157 0 0 0 7 1 5 0.703542156404137
"148" 0 -0.329688189001227 1 1 -4.08226377075479 -1.82425290317289 -4.79071297673368 0 0 0 5 1 7 -0.291943119267715
"149" 0 -0.104810656365234 0 1 -5.03029732792905 -2.87823625235563 -3.72930791398299 0 0 0 5 4 6 0.894403995341333
"150" 0 0.114331155707711 1 2 -3.63186052185322 -2.08216430754197 -3.22200797104948 0 0 0 3 4 3 2.35584331943028
"151" 0 0.172053002337537 0 2 -4.72025605358276 -3.7372535077736 -2.95375610213629 0 0 0 2 3 2 2.41125013977977
"152" 1 0.156456520636157 1 1 -2.7872724838934 -0.725764702063801 -2.81207933536525 0 0 0 2 0 4 -0.790268485701947
"153" 0 0.0261109454686305 1 0 -3.26664557693201 -3.4645344619769 -4.96944902702482 0 0 0 2 2 8 1.63624664318343
"154" 0 -0.144605671423801 0 1 -5.12508121615975 -3.27245370243836 -3.96251829854846 0 0 0 2 3 5 0.28694342177779
"155" 1 0.626268542339735 1 2 -1.66194899574328 -1.50260124004965 -1.24872057383728 0 0 0 2 1 3 1.45932323992271
"156" 1 0.111644113033038 1 0 -3.04756515820375 -2.95609768168764 -3.951146286067 0 0 0 3 3 6 -0.514498328848627
"157" 1 0.354527860879794 1 1 -2.36114888078679 -0.56680654594238 -1.97306791955356 0 0 0 0 0 1 1.37035764348936
"158" 1 0.312107250710323 1 0 -2.17020486229272 -2.76226748244592 -3.64500093686304 0 0 0 1 2 0 0.900124476359286
"159" 0 0.331536925118984 0 0 -4.72224385285787 -4.82026447961314 -4.19979916847281 0 0 0 4 4 6 2.26467538039016
"160" 1 0.624077298760244 0 1 -2.93454240830894 -2.13445972401726 -1.69521056435472 0 1 1 5 2 2 1.04021340945764
"161" 1 0.47335971322014 0 2 -2.85575671750516 -2.84656064767037 -1.84479562885762 0 0 1 5 2 1 1.93015659783805
"162" 0 -0.177127042337607 0 2 -5.12970857891955 -3.94121097547051 -3.47712118058701 0 0 0 3 4 0 0.367779580754111
"163" 0 0.300950526105122 1 1 -2.93620132581454 -0.877806058216263 -2.88622640372783 0 0 0 3 1 2 2.22673621724786
"164" 0 0.219487161007077 1 0 -2.93478565907913 -3.44721518991048 -4.21213369345322 0 0 0 0 2 4 1.74779141492234
"165" 0 -0.125397242541506 0 2 -5.2150754387243 -3.41530380182356 -3.672051419796 0 0 1 7 1 5 0.204864591025581
"166" 0 -0.298988857617525 1 2 -4.5554752023451 -2.40266826224777 -3.86800930021725 0 0 0 3 1 2 0.244178507520502
"167" 0 0.0305855488127829 1 2 -3.85805993568169 -2.15250039610344 -3.01020758155468 0 0 0 6 1 3 1.68274602088937
"168" 1 0.586927986377876 1 1 -1.91981096187923 -1.11468406287676 -2.03171549046864 0 1 1 2 0 3 0.691522602122181
"169" 1 0.315794111745473 1 0 -2.37669222478278 -2.65370801952973 -3.71373708989027 0 0 0 4 3 1 0.807208130157476
"170" 1 0.986896883298034 1 2 -0.794933824240623 -1.4188284517417 -0.591434775867945 0 0 1 0 0 0 2.86730234443687
"171" 0 -0.108756041732913 1 0 -3.66209687940098 -3.56340137138253 -4.85712673256511 0 0 0 6 5 2 1.13428010617579
"172" 0 -0.0889744475757508 1 0 -3.74339189847777 -3.46173195403648 -4.81684082634395 0 0 0 2 3 8 0.549129100029095
"173" 0 -0.41256003661397 0 0 -5.89982081753545 -5.29676592816965 -5.74902110063847 0 0 0 10 5 5 -1.12017629686027
"174" 1 0.0489287024585613 0 1 -4.14244065669139 -2.50932735904375 -2.85539880583691 0 0 0 3 2 1 -1.25380836654178
"175" 1 0.064259317469693 1 0 -3.26827447230605 -2.58237081894199 -3.80316700272494 1 0 0 3 1 5 -0.177120605540452
"176" 0 0.0855569873628917 1 0 -3.80101705841226 -3.46084810282685 -4.94882668502611 0 0 0 4 3 4 0.405591853470472
"177" 1 0.337250445008146 1 1 -2.3367357800574 -0.951887049912812 -2.4463875843087 1 0 0 1 1 1 0.412835693499632
"178" 1 0.310849288593977 0 1 -3.58460957799763 -2.87900018980246 -2.49324301588108 0 0 0 2 1 3 0.187325218288318
"179" 0 0.231109704917756 0 0 -4.56575969743874 -4.55370606709888 -4.08917525549963 0 0 0 0 7 1 2.29807479617442
"180" 1 0.538915983571436 1 1 -1.95851960526377 -0.537237561914354 -2.12768045456561 0 1 0 4 1 3 1.68237896076411
"181" 0 -0.126863334035836 1 2 -4.00548323879038 -2.3497029445194 -3.75148373119325 0 0 0 0 0 5 0.719017639219387
"182" 1 0.163323455320384 0 0 -3.88786948121945 -4.43461650570693 -4.21414193518954 0 0 0 1 2 6 -0.519772149582022
"183" 1 0.443519094876506 0 1 -3.05595979540856 -2.09531945214837 -2.07321920978241 0 0 0 5 4 2 1.41256486656861
"184" 1 0.471467134873484 0 1 -2.72774786944806 -2.30534805694859 -1.87153155396262 0 0 0 3 2 4 1.3067496119076
"185" 0 -0.0928156744661588 0 1 -4.88196776463586 -3.27222404973753 -3.67768311366751 0 0 0 6 4 6 0.726887287944634
"186" 0 -0.205724229387223 0 2 -5.00892358762054 -3.65122737309269 -3.75818847274561 0 0 0 4 2 5 0.599617186829713
"187" 0 -0.692123621326431 0 0 -6.21241631522869 -5.43436642701043 -6.34638377386944 0 0 0 7 6 4 -1.79349321707968
"188" 0 0.160618465804835 0 2 -4.24839936506409 -3.68851219002097 -3.00790498333952 0 0 0 8 2 4 1.9404273922269
"189" 0 -0.200921967786149 1 1 -4.17464672436949 -1.53709168172106 -4.05405440104271 0 1 0 2 4 1 0.332401788076173
"190" 1 -0.086988557064242 0 1 -4.90610770938171 -2.64307987115929 -3.52954524384467 0 0 0 3 2 2 -2.0922907485031
"191" 1 0.649592462313372 1 2 -1.68454649634602 -1.31721511977924 -1.40945989949261 0 0 0 3 0 2 1.77594483867452
"192" 0 0.102838761461711 0 0 -4.40418522659818 -5.1005945577785 -4.62328062573223 0 0 0 6 4 3 1.08397396002118
"193" 0 0.44898887608414 0 2 -4.12278876321168 -3.78662379657335 -2.54290725038842 0 0 0 3 2 3 2.9231128221934
"194" 1 0.412179228975908 1 2 -1.98242436344537 -1.51763479967122 -1.7787976414148 0 0 0 6 3 3 1.00637000100696
"195" 1 0.794238585197522 1 2 -1.4124213740799 -1.53052430178148 -1.15070362060407 1 1 0 1 1 0 2.23475787495279
"196" 0 -0.133218353938977 0 1 -4.74064821088748 -3.1256895726751 -4.20901287063773 0 0 0 4 5 1 1.01733169485042
"197" 0 -0.0949620423631319 0 2 -5.29860324577126 -3.87901170272103 -3.56996317869181 0 0 0 6 4 5 0.979133647697985
"198" 0 0.130219240805509 0 0 -4.69905679207341 -4.46408928159186 -3.97755066702825 0 0 0 3 3 6 2.37897416205289
"199" 0 0.106985720867605 0 1 -4.60016434321958 -2.73942020004575 -3.538643785016 0 0 0 7 4 2 1.49156274279784
"200" 1 0.651259066194339 1 2 -1.83902699590623 -1.43604113576146 -1.51512105941783 0 0 1 3 1 0 2.11468238459804
"201" 0 -0.266862639167627 0 1 -5.23885710943139 -3.34027748200318 -3.88209159037615 0 0 0 7 5 6 -0.0207476546805585
"202" 1 0.577695142004104 1 2 -1.79008092670881 -1.29320284339151 -1.31833357513263 0 1 0 2 1 1 1.81373530835906
"203" 1 0.303888613728194 0 0 -3.24937899712266 -4.28209385220736 -3.44862874301584 0 0 0 1 4 5 0.596165703455488
"204" 1 0.42427135449745 0 1 -3.4783255611581 -2.56026796286098 -2.29148567756912 0 0 0 4 4 2 0.732785830989228
"205" 0 -0.118676585736096 1 0 -4.16582109642183 -3.49842425037888 -4.92608805407129 0 0 0 4 0 6 1.10581407202222
"206" 1 0.887061424212501 1 0 -1.13650503697356 -2.63278166422536 -2.63645133619462 0 1 0 0 1 4 2.79176547137758
"207" 1 0.375620610775077 1 2 -2.2943679607767 -1.38952236407173 -1.7082197814605 1 1 0 1 1 1 1.06196624534469
"208" 1 0.451615524974539 1 0 -2.14483544081319 -2.53574321907514 -3.35895243686524 0 0 0 2 2 1 0.73310050835521
