"A" "M_cont" "M_bin" "M_cat" "contY_binMcontM_EMMint" "contY_catMbinM_EMMint" "contY_catMcontM_EMMint" "binY_binMcontM_EMMint" "binY_catMbinM_EMMint" "binY_catMcontM_EMMint" "countY_binMcontM_EMMint" "countY_catMbinM_EMMint" "countY_catMcontM_EMMint" "C"
"39" 1 0.569168893735807 1 0 -1.91952769064576 -2.38875043316049 -2.81130456233946 1 0 0 1 2 4 1.93399699763769
"40" 0 -0.0860585238450076 1 0 -3.85290279484257 -3.66209817134884 -5.11005674551739 0 0 0 3 5 3 0.147082491852023
"41" 0 -0.106167589192946 1 1 -3.97439357835749 -1.7931131319471 -4.4188319995585 0 0 0 2 2 2 0.616968875396162
"42" 1 0.427359785255838 1 1 -1.75220389342206 -0.583387954575244 -1.99388801058444 1 1 0 0 0 2 1.12037628525467
"43" 1 0.813454869132027 1 1 -1.14719218369008 -0.759981732334751 -1.42034557517998 1 0 0 1 1 1 1.93073100234741
"44" 1 0.483253826550065 0 0 -3.17656184568753 -4.20555131491421 -3.1740501495507 1 0 0 4 9 2 1.15253204734302
"45" 1 0.856612355651635 0 2 -2.30806398275217 -2.8357257040814 -0.641973456615825 0 0 0 0 4 0 3.280282024176
"46" 0 0.0600285089790348 1 2 -3.60425302585426 -2.10547036052858 -3.15648801399638 0 0 0 4 2 3 2.33701597866434
"47" 1 0.294901856151673 1 2 -2.54905285446036 -1.17236888494462 -1.96539136065263 0 0 0 4 1 0 0.354500165955198
"48" 1 0.408170324910479 1 1 -2.0461641231522 -0.460942894215591 -2.32011312156131 0 1 0 2 0 4 0.885664690174129
"49" 0 -0.297207046644727 0 1 -5.50751968423886 -3.25357725769561 -4.06660852232971 0 0 0 3 7 6 0.417976452899721
"50" 0 -0.428769142012376 1 1 -4.66256992632121 -1.98808738417574 -4.84539797398523 0 0 0 9 1 4 -0.70285947477036
"51" 0 -0.0240858548330375 1 1 -3.46809984724768 -1.89678018704027 -3.51410986898791 0 0 0 3 0 3 0.737638180382835
"52" 0 -0.0277451689933999 0 2 -4.72146284124108 -3.79388879942051 -3.06921803899302 0 0 0 6 1 4 0.84339349067095
"53" 0 -0.106562736298677 1 2 -4.17171254751205 -1.97809486516206 -3.55739115726759 0 0 0 3 2 2 1.21418665135541
"54" 0 0.0781565721545118 1 0 -3.45355401135983 -3.12953375286825 -5.00472959112696 0 0 0 1 3 7 1.41484575511801
"55" 0 -0.0364308225963543 0 2 -4.97309019595175 -3.62081741621145 -3.60003219336437 0 0 0 9 1 3 1.31093733823164
"56" 0 -0.216665130038119 1 1 -4.36997544152326 -1.85025050602743 -4.33300146610418 0 0 0 3 0 2 0.375326486103717
"57" 0 0.139035532326876 1 1 -3.20379932188793 -1.58366006622358 -3.50729701303179 0 1 0 4 1 2 1.8231634929049
"58" 0 -0.320318296981035 0 1 -5.59127594858266 -2.92527789687438 -4.41812258384941 0 0 0 4 7 7 -0.140328519228992
"59" 0 0.148404822549678 1 2 -3.59199551848063 -1.99621796075979 -3.19053459837612 0 0 0 4 2 1 2.7318738678042
"60" 0 0.332466531839573 1 0 -3.25156233157118 -3.12113346680643 -4.13586745226907 0 0 0 1 1 5 2.90532251714139
"61" 0 0.186028253790514 0 0 -4.53247231438216 -4.91735957865853 -4.7278837007501 0 0 0 1 4 3 1.04035643759684
"62" 1 0.356118243147774 1 1 -2.14983301551019 -0.526487327529725 -1.92106439701806 0 1 0 3 0 3 0.789400360515109
"63" 1 0.252792073660442 1 0 -2.65395673208157 -2.61983175605034 -3.75389849298161 0 0 0 2 5 3 0.0315430519961709
"64" 1 0.39194239201352 1 0 -2.3912208292856 -2.99171223489618 -3.09726778582095 0 1 0 1 1 0 0.915011012918122
"65" 0 -0.0577906849759806 1 2 -3.98957670716818 -2.05007278563537 -3.52149052823733 0 0 0 4 4 4 0.723110010740648
"66" 0 -0.0231451959264027 0 0 -5.07807469802862 -4.98128511760978 -4.97990547424214 0 0 0 3 5 3 1.15542396910217
"67" 0 0.372129712037881 1 1 -3.00397980495229 -1.23103595706707 -3.19966450047022 0 1 0 5 0 2 2.9637976934727
"68" 0 -0.347240497953271 0 2 -5.60122889193173 -3.6083874082195 -4.02796481015671 0 0 0 5 4 3 1.02984448256902
"69" 0 -0.362753684118869 0 0 -5.65862958334306 -5.26824281616482 -5.80068839917663 0 0 0 14 6 2 -1.51383458188245
"70" 1 0.448250897199599 0 0 -3.13700225528945 -3.94025911982086 -3.3031865249578 0 0 0 3 2 3 1.63844635472489
"71" 0 -0.15078639685303 0 0 -5.38267405627267 -4.88990191772072 -5.2728336660046 0 0 0 3 5 8 0.924408214665426
"72" 0 -0.22754976763264 0 1 -5.70173449201707 -3.21569396482828 -4.38183941738431 0 0 0 4 3 5 -0.157335113361228
"73" 0 0.185752503387192 0 2 -4.57667108571785 -3.5511602241128 -3.21679142571091 0 0 0 3 6 2 2.09503998819015
"74" 1 0.361522610824553 1 1 -2.22338883078357 -0.733499932929526 -2.18887698220451 0 1 0 3 0 2 0.369785733491406
"75" 1 0.494253775889957 1 1 -1.90850484894618 -0.482306508381869 -1.96654004979362 0 1 0 1 0 3 1.90473847898529
"76" 1 0.176667918101748 1 0 -2.75283668177303 -2.84172501045592 -3.75894045902246 1 0 0 3 2 6 0.18196922982784
"77" 1 0.471938767316134 1 2 -1.91111148599467 -1.30106298328885 -1.64547306230476 0 0 0 3 2 0 1.18534943744489
"78" 1 0.602838542389052 0 2 -2.82927882951806 -2.78009007727889 -1.03187160516379 0 0 0 3 4 1 1.57805306607412
"79" 1 0.677440646383405 1 1 -1.51394375307404 -0.486725462000742 -1.67754487124698 1 0 0 3 1 0 1.90350074118171
"80" 0 -0.000521147460937115 0 0 -4.71138605457026 -4.93968489962951 -4.92079338107704 0 0 0 5 8 4 1.24054330539738
"81" 0 0.220306872696563 0 1 -4.26450117369222 -2.81292857860052 -2.81987655555006 0 0 0 2 1 3 2.76232246023163
"82" 0 -0.311482059535967 0 2 -5.83001523083128 -3.71845702280745 -4.51630855520352 0 0 0 4 3 4 -0.0853641293740119
"83" 1 0.151453872502274 1 1 -2.55713387269525 -0.612797545362413 -2.80975374437845 0 0 1 0 2 2 0.316337727807162
"84" 1 0.404384333650333 0 2 -3.45674485527955 -2.94303261688097 -1.59624264729985 0 0 0 4 3 1 1.1502229748834
"85" 0 0.119943011457724 1 0 -3.63937572990236 -3.34433829142448 -4.82808534529022 0 0 0 4 8 4 1.30072447000594
"86" 0 0.152176986170481 1 2 -3.43158255507606 -1.91023190757929 -2.87172244843299 0 0 0 3 2 5 1.29318597358495
"87" 1 0.773276760207847 0 0 -2.81713526494951 -4.09438247586437 -2.52160422572512 0 0 0 1 4 3 2.27783152438326
"88" 0 -0.0352493533220578 1 2 -3.60212305036397 -2.1950147365945 -3.72889483676962 0 0 0 3 5 3 0.532003433226254
"89" 0 -0.162366744104389 1 2 -4.13829193064702 -2.00614008424237 -3.74649264464048 0 0 0 4 3 4 0.65587615181089
"90" 1 0.789343937583696 0 2 -2.4456905382863 -2.71063558306311 -0.690407626793468 0 1 0 6 5 1 2.60240770671039
"91" 1 0.114837640392961 0 0 -4.02023375841555 -4.17443687173905 -4.11998091920981 0 0 0 6 4 5 -0.495975965000115
"92" 0 0.747708120678989 1 0 -2.00981669949644 -2.91270854427333 -3.42415464246852 0 0 0 3 2 1 3.94926203147731
"93" 0 -0.202010459417761 0 0 -5.45886756260053 -5.06844083543775 -5.10622919666569 0 0 0 5 9 6 0.490970588820843
"94" 0 -0.101622293350096 0 0 -5.17273635688014 -4.91924247846362 -5.09441832555796 0 0 0 3 2 6 0.770192927740104
"95" 1 0.584982719947733 1 1 -1.7130347667011 -0.886887665068317 -1.74043662981544 0 1 1 1 1 1 1.49766171343705
"96" 0 0.214216222430131 0 0 -4.10550865452937 -4.78509260280894 -4.38537296869029 0 0 0 2 4 5 2.42788567712847
"97" 0 0.151416338217479 1 2 -3.256934331001 -2.01969809243974 -2.92699135551583 0 0 0 3 4 4 1.13950052337721
"98" 0 -0.222707554999821 1 2 -4.22176507747312 -2.23738576540098 -3.5675927852593 0 0 0 3 1 4 0.730902514192729
"99" 0 -0.0714557564992735 1 1 -3.97702931959053 -1.77180311396984 -3.56070312794585 0 0 0 5 2 4 0.584477184216539
"100" 1 0.307943831734705 1 1 -2.15776060713419 -0.735309024860272 -2.36300414809637 1 1 0 3 1 2 0.108844179157673
"101" 0 -0.00232696914815803 0 0 -4.86262002593331 -4.73532456133146 -5.13671001371554 0 0 0 4 8 8 1.49373242880234
"102" 0 -0.278448396933601 1 2 -4.18966844541432 -2.00287308373845 -3.72455287118258 0 1 0 6 0 3 0.737463651714994
"103" 0 -0.111483424988121 1 1 -3.55884257570552 -1.63488866872914 -3.99037943441214 0 0 0 5 3 4 1.08009287224976
"104" 0 -0.377513960452583 1 0 -4.16049683154411 -3.32217759634845 -5.92689398118321 0 0 0 4 3 7 0.100508596553519
"105" 0 -0.134086763409928 0 1 -5.20425227561972 -2.80793980607651 -4.17158846954417 0 0 0 11 4 5 0.400129705470254
"106" 1 0.00379477451321092 0 2 -4.18936855510096 -2.8691952235108 -2.72899281639307 0 0 0 2 3 3 -0.832400765467156
"107" 1 0.530280362968235 1 2 -1.69277653809456 -0.731438932835454 -1.43320968410879 0 0 0 1 2 1 1.16874302113298
"108" 1 0.811777134723684 0 2 -2.20557056500132 -2.29167897977217 -0.739452676774597 0 0 0 4 5 3 2.31938502959582
"109" 0 0.198321611081331 1 0 -3.29105171388059 -3.10594476800098 -4.39125075709189 0 0 0 2 2 1 1.74481882214854
"110" 0 0.16541807988774 1 0 -3.44187273476478 -3.29561092894971 -4.51304923688827 0 0 0 4 3 5 2.19794176002485
"111" 1 0.778417735816442 0 0 -2.40322970822054 -4.20995282014596 -2.88358299864763 0 0 0 1 6 6 2.68221596653236
"112" 1 0.648857223451848 1 1 -1.48826084175315 -0.555959863942521 -1.49299385856484 0 1 0 2 1 0 2.30613478484245
"113" 0 0.143539173166989 0 0 -4.68900674118124 -4.91017636237542 -5.09325854735124 0 0 0 2 6 8 1.84609349616002
"114" 0 0.209223768505211 0 2 -4.34269327785296 -3.62064948201986 -3.07212009489217 0 0 0 3 6 1 2.27310972860519
"115" 1 0.438562759838809 1 2 -1.6057935694659 -1.10282415630075 -1.79226954751242 0 0 0 1 0 4 1.01011479195254
"116" 0 -0.0358306184560465 0 1 -4.91871130311835 -3.34255819429291 -3.59058137725525 0 0 0 4 5 10 0.961270896059347
"117" 1 0.365295546226359 1 2 -2.48202673703793 -0.94175170568845 -1.53230459248056 0 0 0 2 2 1 0.581691443577195
"118" 1 0.215616080706468 1 2 -2.36418746082347 -1.29435246888167 -2.52708851896893 0 0 1 6 2 3 -0.529625883663519
"119" 0 -0.415903462282436 0 0 -5.82091787085765 -4.98163829844162 -5.98602360613136 0 0 0 6 3 5 -1.13424060601105
"120" 1 0.250756616336207 0 0 -4.05919313888981 -4.30717540502932 -3.82587920237272 0 0 0 4 4 2 -0.209444837609009
"121" 0 0.0568921094000863 1 2 -3.60284256241248 -2.44017169447085 -3.20686753999501 0 1 0 3 2 2 1.51118039543578
"122" 0 0.10771956350341 1 2 -3.44961070845383 -1.97779378354127 -3.22807028066827 0 0 0 2 2 3 1.84584077426843
"123" 0 -0.300544538635403 0 0 -5.67448745067137 -5.26282084253729 -5.48430870919433 0 0 0 5 4 4 0.0794829049931629
"124" 0 0.130090029881852 1 1 -3.20762036299708 -1.40431481609743 -3.4108449230601 0 0 0 3 3 5 2.3040775339894
"125" 0 -0.133152967009582 1 0 -4.13402915008748 -3.72554496706913 -5.24924028268511 0 1 0 7 6 7 0.130232431774452
"126" 0 0.267600214558397 1 2 -3.24241547986652 -2.20731890405347 -2.83001537750797 0 0 0 5 1 6 1.96586512995034
"127" 1 0.477979445687103 1 2 -1.94018648564192 -1.36204578272737 -1.97280642380568 1 0 1 4 1 2 1.43490744896271
"128" 1 0.551332885192364 1 1 -1.65697569691659 -0.708526055029444 -1.55004189615754 0 1 0 1 3 0 1.55933091081022
"129" 0 -0.189679353498537 1 0 -4.07377003363099 -3.43630026768879 -5.25215199018177 0 0 0 3 4 5 0.685504394699142
"130" 0 -0.070445914447671 1 2 -4.08212511176923 -2.45447106446191 -3.08322687317355 0 0 0 5 1 3 0.917373605118799
"131" 0 -0.100259785033604 0 1 -5.19019318181735 -3.00460831602422 -3.41419432275665 0 0 0 3 4 5 1.00325162932047
"132" 1 0.480296762653385 1 2 -2.09041905361752 -0.532014497302286 -1.78533414171654 0 0 0 3 4 2 1.51387651528158
"133" 1 -0.0232717214738648 1 0 -2.79593768419237 -2.82928431668052 -4.07162226207522 0 0 0 2 0 4 -1.15980339424932
"134" 0 -0.321543608315158 1 0 -4.38751806311291 -3.74024580845129 -5.66720177897187 0 0 0 5 2 6 0.0874626565299924
"135" 0 -0.255763810616874 0 2 -5.5272636580012 -4.09522520744872 -4.03233438213937 0 0 0 8 3 5 -0.634071464560088
"136" 0 0.193905150953331 1 2 -3.48067465245727 -2.39657960864727 -2.71382085323333 0 0 1 4 1 3 2.39817327097435
"137" 0 -0.131958543803545 1 1 -4.20708062414465 -1.74988069528754 -3.65776946114899 0 0 0 6 0 2 0.684486578986723
"138" 0 0.312337270816115 0 2 -4.02223626827926 -3.18235649869157 -2.72752078256129 0 0 0 2 4 5 2.73572789702512
"139" 0 -0.0513938430363392 0 0 -4.58984526609196 -4.73923571360191 -4.94305699562961 0 0 0 4 5 7 1.18701887790573
"140" 1 0.400011204834533 1 0 -2.20900266471733 -2.89354427727902 -2.99976047513069 0 0 0 4 2 5 0.794993925451335
"141" 1 0.664035205620417 1 0 -1.46445747660054 -2.5785085931288 -2.50028506051217 0 1 0 2 2 1 1.73114355403334
"142" 0 -0.241450512375395 1 2 -4.11846917452505 -2.48273129560779 -3.92369924312556 0 1 0 4 2 3 1.05725196136345
"143" 0 0.408871292252321 0 0 -3.71678666133336 -4.48236955459341 -3.87132386969624 0 0 0 3 5 3 3.39757418346288
"144" 1 0.257339660650329 0 1 -3.91849936293295 -2.40431622522539 -2.16400398068656 0 0 0 5 2 1 -0.154818101642772
"145" 0 -0.189431754392626 1 0 -3.90875196475691 -3.37259145060242 -5.42075149500505 0 0 0 3 3 6 -0.32741050495612
"146" 1 0.8555158587148 1 0 -1.00358291708918 -2.38780224942316 -2.14575193561229 1 0 0 1 6 2 2.41077547562043
"147" 1 0.373932532237101 1 0 -1.90332553138141 -2.61789122779206 -3.47913771023491 0 0 0 1 2 2 0.703542156404137
"148" 0 -0.329688189001227 1 1 -4.55490084500143 -1.8643435922253 -4.44694600810232 0 0 0 2 3 4 -0.291943119267715
"149" 0 -0.104810656365234 0 1 -4.97743175295062 -3.03842838920421 -3.69937012367468 0 0 0 8 3 7 0.894403995341333
"150" 0 0.114331155707711 1 2 -3.15948614439782 -2.07253722749159 -2.71245401233068 0 0 0 4 2 8 2.35584331943028
"151" 0 0.172053002337537 0 2 -4.24439070990668 -3.5572776249855 -2.6675963954977 0 0 0 4 7 0 2.41125013977977
"152" 1 0.156456520636157 1 1 -2.48475652903285 -0.853398142876901 -2.82768052574569 0 0 0 4 2 0 -0.790268485701947
"153" 0 0.0261109454686305 1 0 -3.47626142365156 -2.8503304068178 -4.4677144685052 0 0 0 3 2 10 1.63624664318343
"154" 0 -0.144605671423801 0 1 -5.40261211823365 -3.31837299179616 -4.0856855117497 0 0 0 7 4 5 0.28694342177779
"155" 1 0.626268542339735 1 2 -1.56431223047663 -0.860128907027028 -1.3584049703671 0 0 0 2 1 0 1.45932323992271
"156" 1 0.111644113033038 1 0 -2.82751193948642 -2.59108517071262 -4.35970282001566 0 0 0 5 4 2 -0.514498328848627
"157" 1 0.354527860879794 1 1 -2.27128219346905 -0.653359667422597 -2.30759939617687 0 0 0 3 1 1 1.37035764348936
"158" 1 0.312107250710323 1 0 -1.86037448342586 -2.29548120525919 -3.82005729275181 0 0 0 3 4 3 0.900124476359286
"159" 0 0.331536925118984 0 0 -4.04132882825794 -4.70338298406016 -3.97178463470273 0 0 0 1 4 4 2.26467538039016
"160" 1 0.624077298760244 0 1 -2.74682324912475 -2.39356177459015 -1.63932176703205 0 0 1 4 2 4 1.04021340945764
"161" 1 0.47335971322014 0 2 -2.94882632080268 -2.74447035964043 -1.37086970218158 0 0 1 5 2 3 1.93015659783805
"162" 0 -0.177127042337607 0 2 -5.28709434644403 -3.93833159051484 -3.87936759605474 0 0 0 0 2 2 0.367779580754111
"163" 0 0.300950526105122 1 1 -3.3057262236008 -1.76042095895873 -2.9485128120625 0 0 1 0 2 1 2.22673621724786
"164" 0 0.219487161007077 1 0 -3.21580107403317 -3.55138279793226 -4.05687244219321 0 0 0 2 7 4 1.74779141492234
"165" 0 -0.125397242541506 0 2 -5.26439674365095 -3.73881924669211 -3.47879224209284 0 0 0 3 5 3 0.204864591025581
"166" 0 -0.298988857617525 1 2 -4.28292393474265 -2.36343680378595 -4.19596012673121 0 0 0 7 2 4 0.244178507520502
"167" 0 0.0305855488127829 1 2 -3.99604334253871 -2.06873996529817 -3.00933001403112 0 0 0 7 2 1 1.68274602088937
"168" 1 0.586927986377876 1 1 -1.61292487402432 -0.4076714318389 -1.55372370729555 0 1 0 3 1 0 0.691522602122181
"169" 1 0.315794111745473 1 0 -1.96734312700984 -2.4568438641276 -3.4639062164479 0 0 0 2 5 4 0.807208130157476
"170" 1 0.986896883298034 1 2 -0.716896983488579 -0.645698143349461 -0.220647970125965 0 1 0 1 0 1 2.86730234443687
"171" 0 -0.108756041732913 1 0 -3.93763761908539 -3.72009843255631 -5.14807426484185 0 0 0 4 2 3 1.13428010617579
"172" 0 -0.0889744475757508 1 0 -3.90465503195881 -3.1605766238773 -4.88232239162512 0 0 0 4 7 3 0.549129100029095
"173" 0 -0.41256003661397 0 0 -6.05589797581098 -5.29575077791149 -5.55353043224182 0 0 0 2 6 7 -1.12017629686027
"174" 1 0.0489287024585613 0 1 -4.09213921862631 -2.73821324184397 -2.84172298121698 0 0 0 4 4 2 -1.25380836654178
"175" 1 0.064259317469693 1 0 -2.85046102295411 -3.18426557921538 -3.90642609528398 0 0 0 5 1 3 -0.177120605540452
"176" 0 0.0855569873628917 1 0 -3.76574280329685 -3.3943128959601 -4.80195539370142 0 0 0 2 5 9 0.405591853470472
"177" 1 0.337250445008146 1 1 -2.34067734034468 -0.343203347974941 -2.5213452977997 0 0 0 2 0 0 0.412835693499632
"178" 1 0.310849288593977 0 1 -3.80601057478329 -2.43770883173158 -2.6221331242916 0 0 0 3 0 3 0.187325218288318
"179" 0 0.231109704917756 0 0 -4.18740678255809 -4.7395599969412 -4.49312969366263 0 0 0 2 2 5 2.29807479617442
"180" 1 0.538915983571436 1 1 -1.25219248591006 -0.289796489491279 -1.87859811569282 0 0 0 1 1 2 1.68237896076411
"181" 0 -0.126863334035836 1 2 -4.03455731208423 -2.27990946668921 -3.57758729460511 0 0 0 6 1 6 0.719017639219387
"182" 1 0.163323455320384 0 0 -3.63649722864424 -4.11386868661394 -3.85024336051242 0 0 0 7 3 8 -0.519772149582022
"183" 1 0.443519094876506 0 1 -3.21463652872941 -2.38902337852783 -1.58856115626851 0 0 0 0 3 3 1.41256486656861
"184" 1 0.471467134873484 0 1 -3.29017853080717 -2.36657573112531 -1.92260383751915 0 0 0 9 4 4 1.3067496119076
"185" 0 -0.0928156744661588 0 1 -5.13194927688926 -3.14149059018355 -3.85555851027992 0 0 0 7 3 3 0.726887287944634
"186" 0 -0.205724229387223 0 2 -5.22945275667061 -4.05676997770723 -3.59185924274334 0 0 0 4 1 1 0.599617186829713
"187" 0 -0.692123621326431 0 0 -6.46985314133939 -4.98529414052002 -6.44864753931765 0 0 0 6 3 5 -1.79349321707968
"188" 0 0.160618465804835 0 2 -4.55410100285159 -3.74924587027726 -2.45567161488562 0 0 0 4 4 0 1.9404273922269
"189" 0 -0.200921967786149 1 1 -4.03392037925472 -1.37738219382037 -4.0148661902426 0 0 0 4 0 6 0.332401788076173
"190" 1 -0.086988557064242 0 1 -4.6494497434652 -2.7252599600252 -3.52867791257736 0 0 0 4 1 4 -2.0922907485031
"191" 1 0.649592462313372 1 2 -1.52987052137261 -0.814391330447285 -1.13764439809212 0 1 0 1 2 2 1.77594483867452
"192" 0 0.102838761461711 0 0 -4.64726718139821 -4.76508908642572 -4.67087302566016 0 0 0 5 6 8 1.08397396002118
"193" 0 0.44898887608414 0 2 -3.60357670531874 -3.68013945516909 -2.57005850730618 0 0 0 5 2 1 2.9231128221934
"194" 1 0.412179228975908 1 2 -1.81026660851821 -1.372356505997 -1.71047428411642 0 1 0 0 0 5 1.00637000100696
"195" 1 0.794238585197522 1 2 -1.37764135839089 -1.05375231688093 -0.57668576618092 0 0 0 2 1 0 2.23475787495279
"196" 0 -0.133218353938977 0 1 -5.61209327362975 -2.97047373525554 -4.00478792750121 0 0 0 5 6 6 1.01733169485042
"197" 0 -0.0949620423631319 0 2 -5.29587582116093 -3.57464101309417 -3.51732656729769 0 0 0 8 7 1 0.979133647697985
"198" 0 0.130219240805509 0 0 -4.54403038310158 -4.62897471895789 -4.67972033070939 0 0 0 5 7 12 2.37897416205289
"199" 0 0.106985720867605 0 1 -4.64242931829204 -3.02524390131621 -3.28733135780802 0 0 0 4 1 2 1.49156274279784
"200" 1 0.651259066194339 1 2 -1.54054184483117 -0.96821629669491 -1.30870336844871 0 0 1 0 1 0 2.11468238459804
"201" 0 -0.266862639167627 0 1 -5.51823453216182 -2.99728968932139 -4.42206935172776 0 0 0 9 5 2 -0.0207476546805585
"202" 1 0.577695142004104 1 2 -1.64373369694821 -1.24111873251542 -1.09470317484343 0 1 0 3 1 0 1.81373530835906
"203" 1 0.303888613728194 0 0 -3.64962402116602 -4.35829580537888 -3.96386240787114 0 0 0 3 3 8 0.596165703455488
"204" 1 0.42427135449745 0 1 -3.32987887941047 -2.20996193509197 -1.72319783546319 0 0 1 6 5 2 0.732785830989228
"205" 0 -0.118676585736096 1 0 -4.01645728418562 -3.3813663427561 -5.2750259687471 0 0 0 2 4 3 1.10581407202222
"206" 1 0.887061424212501 1 0 -0.845898517721252 -2.50543570435191 -2.60841407559913 0 0 0 2 4 3 2.79176547137758
"207" 1 0.375620610775077 1 2 -1.98582392544633 -0.385838895247062 -1.68462241099953 0 0 0 1 1 2 1.06196624534469
"208" 1 0.451615524974539 1 0 -1.91449383588614 -2.73960815572994 -3.6585110696006 0 0 1 1 2 0 0.73310050835521
