"A" "L_bin" "L_cat" "M_cont" "M_bin" "M_cat" "contY_binMcontM_EMint" "contY_catMbinM_EMint" "contY_catMcontM_EMint" "binY_binMcontM_EMint" "binY_catMbinM_EMint" "binY_catMcontM_EMint" "countY_binMcontM_EMint" "countY_catMbinM_EMint" "countY_catMcontM_EMint" "C"
"52" 0 0 1 0.27223914035365 0 0 -4.10385834678394 -4.1192767348049 -4.05191241220919 0 0 0 5 4 2 0.84339349067095
"53" 0 1 2 0.33181594812363 1 1 -2.38082615853953 -1.06557823192998 -2.49408394337879 0 0 0 1 0 1 1.21418665135541
"54" 0 1 2 0.424787168791083 1 0 -2.1649168490443 -3.14541142100508 -3.40153152038186 0 0 0 4 5 0 1.41484575511801
"55" 0 0 2 0.328547306940204 0 1 -4.02943226371909 -3.03445671269093 -2.90264644969601 0 0 0 4 4 1 1.31093733823164
"56" 0 1 1 0.371966061473738 1 2 -2.58071159537471 -1.74300423203556 -2.21078368052193 0 0 0 1 0 4 0.375326486103717
"57" 0 1 2 0.594377214938818 1 1 -2.1137810793337 -1.15756097122016 -2.04512005236218 0 0 0 1 1 3 1.8231634929049
"58" 0 0 0 -0.260268306907856 0 2 -5.19376084930852 -3.84154964928355 -3.74466908630306 0 0 0 8 2 2 -0.140328519228992
"59" 0 1 1 0.675379827810406 1 2 -1.58053427070106 -1.55766327896554 -1.52845546351059 0 0 0 0 1 1 2.7318738678042
"60" 0 1 0 0.2751396794004 1 0 -2.62588204388571 -2.9343072095803 -4.28116416240048 0 0 0 3 3 4 2.90532251714139
"61" 0 0 1 0.119732809670934 1 1 -3.10184052125085 -1.36273455757302 -2.836360461649 0 0 0 2 2 3 1.04035643759684
"62" 1 1 1 0.762790939637105 1 1 -0.553463636182936 0.366699116686394 -0.721900527406205 0 0 0 1 0 0 0.789400360515109
"63" 1 1 2 0.506472161789219 1 2 -1.30818186482975 -0.808924225570409 -0.996140869682837 0 0 1 1 1 3 0.0315430519961709
"64" 1 1 1 0.899322831819111 1 1 -0.772931137621779 0.397235908554713 -0.0838803704735891 0 1 0 0 0 0 0.915011012918122
"65" 0 1 0 -0.0621848135000599 1 2 -3.36200544993548 -1.91746729528056 -3.13184010993529 0 0 0 4 1 5 0.723110010740648
"66" 0 0 2 0.37008471676025 0 2 -4.11513262744133 -3.53824412157461 -2.71544453705234 0 0 0 2 4 1 1.15542396910217
"67" 0 1 1 0.735727469065563 1 0 -1.30672651274906 -2.86949798213841 -2.85703228807736 0 0 0 1 2 1 2.9637976934727
"68" 0 0 1 0.421402687930668 0 2 -3.6498625699443 -3.30293191384083 -1.9526675524738 0 0 0 3 4 5 1.02984448256902
"69" 0 0 1 -0.166566177735885 0 2 -5.16806193608941 -3.54773176776267 -3.60451652902118 0 1 0 2 2 5 -1.51383458188245
"70" 1 0 2 0.841390088059156 1 1 -0.825756961314382 -0.410038139917074 -1.17092603801193 1 1 0 1 0 0 1.63844635472489
"71" 0 0 0 0.174455246708339 1 0 -3.37588247364571 -3.50141815166915 -4.6335413158511 0 0 0 6 7 8 0.924408214665426
"72" 0 0 2 0.0854717852506146 0 0 -4.66184475137717 -4.97224983564556 -4.53051867109105 0 0 0 5 3 2 -0.157335113361228
"73" 0 0 2 0.294910054664912 1 2 -2.82032212571596 -2.15114593180785 -2.65720895285221 0 0 0 2 2 4 2.09503998819015
"74" 1 1 0 0.674512496130706 1 2 -1.31937743989426 -0.911922203853611 -1.32431322543528 0 0 0 1 0 0 0.369785733491406
"75" 1 1 2 1.04938815641056 0 2 -1.59340782684285 -2.45504760157354 0.132628756173151 1 0 1 2 1 0 1.90473847898529
"76" 1 1 1 0.589330997835102 0 1 -2.58092921435274 -1.57694271160561 -0.833228402946128 0 0 0 4 0 1 0.18196922982784
"77" 1 1 1 0.962139810196154 1 1 -0.569211324935768 0.0162616495997404 -0.20097771264056 0 0 1 0 1 0 1.18534943744489
"78" 1 0 2 0.881646227402423 0 1 -2.19312686795453 -1.8581163984197 -0.853025520824493 0 0 1 3 2 2 1.57805306607412
"79" 1 1 0 0.517356911770139 1 1 -1.35548302081449 -0.432426164013791 -1.53483754715328 0 1 0 0 0 2 1.90350074118171
"80" 0 0 0 0.104165598221135 1 0 -3.55218682283146 -3.41985531564735 -4.87282210570707 0 0 0 3 4 4 1.24054330539738
"81" 0 0 1 0.475983578217402 0 1 -3.3561581378092 -2.21642892640388 -2.02197617184846 0 0 0 3 2 1 2.76232246023163
"82" 0 0 2 -0.0347111609894867 0 1 -4.78093711258853 -3.45564084803878 -3.85512510230938 0 0 0 5 3 1 -0.0853641293740119
"83" 1 1 1 0.767632884443505 1 0 -0.631058353364105 -1.912661489383 -2.09732272995858 1 0 0 0 0 0 0.316337727807162
"84" 1 0 0 0.41937425876254 1 1 -1.9881589511084 -0.485888181330585 -1.99740984289564 0 0 0 2 0 1 1.1502229748834
"85" 0 1 0 0.18741323256951 0 1 -4.20699447279936 -2.94398276591413 -2.84507226323181 0 0 1 3 1 5 1.30072447000594
"86" 0 1 0 0.106330681612163 0 0 -4.1188366806774 -4.34564102353986 -4.70708311906435 0 0 0 7 3 7 1.29318597358495
"87" 1 0 1 0.753523084024764 1 2 -0.938040924619798 -0.61350239409924 -0.582289126810656 0 0 0 1 0 1 2.27783152438326
"88" 0 1 1 0.3852747309206 0 0 -3.50152022093742 -4.46544600078991 -3.60976370950538 0 0 0 3 3 5 0.532003433226254
"89" 0 1 0 -0.10390364888945 1 1 -3.39316665224338 -1.35423250525258 -3.38212730901244 0 0 0 4 1 8 0.65587615181089
"90" 1 0 2 1.0887847834522 1 1 -0.350822972849145 -0.226964289477599 -0.815095636264626 1 1 1 1 0 0 2.60240770671039
"91" 1 0 1 0.457029365315841 1 2 -1.55178401417054 -1.02668867191714 -1.65610287894411 0 1 0 2 1 1 -0.495975965000115
"92" 0 1 1 0.65057216601845 1 1 -1.34167864544012 -0.770029259690696 -1.28770194518805 0 1 0 0 2 0 3.94926203147731
"93" 0 0 1 0.257648912914846 1 0 -3.00467279219103 -2.84261036971372 -4.28927501634586 0 0 0 3 3 3 0.490970588820843
"94" 0 0 2 0.143732102169761 1 1 -3.26052469455805 -1.41149819752779 -3.57398148565632 0 0 0 4 2 3 0.770192927740104
"95" 1 1 2 0.920822297251545 1 2 -0.829407530015537 -0.710402069710903 -0.670038502033503 1 0 1 0 1 0 1.49766171343705
"96" 0 0 2 0.422338758935375 1 2 -2.62488283672527 -1.87096216906453 -2.18695869937419 0 0 0 3 5 1 2.42788567712847
"97" 0 1 2 0.202853209031364 0 2 -3.85456231618328 -2.99954076430729 -2.38925574383539 0 0 0 5 3 5 1.13950052337721
"98" 0 1 1 0.243260658196527 1 2 -2.59951658064723 -1.26671918625963 -2.31220895845392 0 0 0 3 1 2 0.730902514192729
"99" 0 1 0 -0.0243286182139646 0 0 -4.81559462675498 -4.33208276624716 -4.51765756112332 0 0 0 5 2 5 0.584477184216539
"100" 1 1 2 0.630231364952686 0 0 -2.60089256794544 -3.67889181156578 -2.48083609825225 0 0 0 2 2 3 0.108844179157673
"101" 0 0 0 0.0333693356031049 1 0 -3.47525975724587 -3.63252146924886 -4.56006876003238 0 0 0 6 3 7 1.49373242880234
"102" 0 1 2 0.357430492643009 1 0 -2.35949819698103 -2.7233457567021 -3.85267349871986 0 0 0 2 3 4 0.737463651714994
"103" 0 1 1 0.342790160928491 0 2 -3.61786637905786 -3.08970926943352 -1.81968542787068 0 0 0 4 2 3 1.08009287224976
"104" 0 1 2 0.145968618424488 1 0 -2.85943408318437 -3.24736885236856 -4.14938405963098 0 0 0 4 6 3 0.100508596553519
"105" 0 0 0 -0.152922069702904 0 0 -4.88319953154173 -5.1302322954063 -5.49302781646878 0 0 0 7 10 5 0.400129705470254
"106" 1 0 1 0.476906986559122 1 0 -1.41076264770438 -2.13734132032213 -2.68722647294437 0 0 0 2 0 4 -0.832400765467156
"107" 1 1 2 0.956214412020864 0 1 -1.6102529911979 -1.79982648263891 -0.482524030128787 0 0 1 2 2 1 1.16874302113298
"108" 1 0 0 0.801445399114548 1 2 -0.649077261365979 -1.1253623731667 -0.91037936228077 0 1 1 4 1 0 2.31938502959582
"109" 0 1 2 0.504307106801931 1 2 -1.9981919757575 -1.54822965703828 -1.97563001824485 0 0 0 0 3 0 1.74481882214854
"110" 0 1 2 0.582223642237747 1 2 -2.04760837292177 -1.61080178068621 -1.68634670012976 0 0 0 2 2 3 2.19794176002485
"111" 1 0 2 1.15410387889824 1 0 -0.532565838129132 -2.38473492311723 -1.58543179770558 0 0 1 2 0 2 2.68221596653236
"112" 1 1 1 0.919650765211728 1 1 -0.30058848656141 0.209291694531461 -0.11465846785608 1 0 1 0 0 0 2.30613478484245
"113" 0 0 1 0.424078734688623 1 1 -2.5468346399359 -1.65162905905182 -2.32257112049944 0 0 0 5 2 3 1.84609349616002
"114" 0 0 1 0.481494528378488 1 2 -2.35395933093858 -1.84872287820155 -1.90748768577005 1 0 1 1 2 2 2.27310972860519
"115" 1 1 1 0.953974954622082 0 1 -1.78566923798101 -1.7571076191578 0.0494936227640488 0 0 0 4 0 0 1.01011479195254
"116" 0 0 0 -0.0462801011410491 0 2 -5.2258623763468 -3.52608626403437 -3.6656317711913 0 0 0 12 2 1 0.961270896059347
"117" 1 1 1 0.823548918332454 0 1 -1.85936365269003 -1.33595479417855 -0.885159394424383 0 0 1 1 0 0 0.581691443577195
"118" 1 1 0 0.313567357157409 0 2 -3.52993122599833 -3.00144389652316 -1.57568617143706 1 1 0 5 2 0 -0.529625883663519
"119" 0 0 1 -0.130530582490861 0 0 -4.81659334692517 -4.83739737402297 -4.85012893470932 0 0 0 5 5 7 -1.13424060601105
"120" 1 0 1 0.560229157110448 1 2 -1.49876292223051 -0.97724111177789 -1.08360299084076 0 0 0 0 1 4 -0.209444837609009
"121" 0 1 0 0.160106979688479 0 0 -4.55197913103159 -4.50927333691517 -4.31648269916442 0 0 0 3 5 2 1.51118039543578
"122" 0 1 2 0.322680150358767 0 2 -3.59696951289549 -3.22196549497441 -2.23384458892598 0 0 0 3 4 3 1.84584077426843
"123" 0 0 0 -0.325763218779634 0 0 -5.84919463634063 -4.9433285396506 -5.38849034683451 0 0 0 4 3 7 0.0794829049931629
"124" 0 1 2 0.572878893860048 1 0 -1.97313280714934 -2.84500697684743 -2.95437506630398 0 0 0 3 4 3 2.3040775339894
"125" 0 1 1 0.208797444779765 0 1 -4.14970956646555 -2.50956494206786 -2.98832192502732 0 0 0 6 0 3 0.130232431774452
"126" 0 1 0 0.171804354177173 1 2 -3.09807106653456 -1.81169576371308 -2.5119223817257 0 0 0 6 2 2 1.96586512995034
"127" 1 1 1 0.986062007454829 1 1 -0.587134169308676 -0.324361204317308 -0.171274984171157 1 0 0 0 0 0 1.43490744896271
"128" 1 1 2 0.98842045285167 1 2 -0.529369239896437 -0.452707666542265 -0.0946692621268237 1 0 1 0 2 0 1.55933091081022
"129" 0 1 1 0.246131405456329 1 0 -2.5932637378674 -2.7107291538844 -3.94030111425699 0 0 0 3 2 6 0.685504394699142
"130" 0 1 1 0.329417763321903 1 2 -2.66151909048248 -1.05642422716774 -2.14134689078431 0 0 0 2 2 2 0.917373605118799
"131" 0 0 0 0.0178471589728964 0 0 -4.772483429873 -4.43372670969616 -5.06364815123046 0 0 0 6 7 6 1.00325162932047
"132" 1 1 0 0.539514686786534 1 2 -0.960888061086524 -1.14198701955399 -1.03243322259131 0 1 1 2 1 1 1.51387651528158
"133" 1 1 0 0.13121781821037 1 2 -2.39309224390186 -0.82973316342226 -2.25306821989254 0 0 0 2 0 4 -1.15980339424932
"134" 0 1 1 0.0615933505020871 1 0 -3.22937777754753 -2.88842328400459 -4.3027422002836 0 0 0 3 0 3 0.0874626565299924
"135" 0 0 0 -0.256432522314451 0 2 -5.75680374761473 -3.871959523029 -3.90656853412477 0 0 0 7 3 1 -0.634071464560088
"136" 0 1 2 0.731260328881267 1 2 -2.08031101666099 -1.36285012494933 -1.70299995320986 1 0 0 1 1 1 2.39817327097435
"137" 0 1 1 0.255317874276798 1 1 -2.6903085215893 -0.620244082302609 -2.52405403672894 0 1 0 1 1 1 0.684486578986723
"138" 0 0 0 0.111774118598886 0 1 -4.18116308521358 -2.9897278700303 -3.16659416283962 0 0 0 7 1 2 2.73572789702512
"139" 0 0 2 0.182087728709596 1 2 -3.01147780192463 -1.9505480781642 -3.10194582942542 0 0 0 4 0 1 1.18701887790573
"140" 1 1 1 0.71101730500344 1 1 -1.01371312827283 0.480219356167151 -0.898388344373381 0 0 0 1 0 4 0.794993925451335
"141" 1 1 2 0.707437951718785 0 2 -2.30512028003499 -1.99554843062892 -0.964994967274836 0 0 0 1 0 1 1.73114355403334
"142" 0 1 0 -0.00281513714634819 1 2 -3.68779854247122 -1.98908832084985 -2.73096500397281 0 0 0 3 1 3 1.05725196136345
"143" 0 0 1 0.824660888723713 1 0 -1.39797995489072 -2.70729219575042 -2.63496304494843 0 0 0 1 2 2 3.39757418346288
"144" 1 0 0 0.369268780764852 1 0 -2.13963241984865 -2.17868330198722 -3.47152860076301 0 0 0 1 0 5 -0.154818101642772
"145" 0 1 1 -0.068585107815828 1 2 -3.09604464467091 -1.67977433709833 -3.02614969549871 0 0 0 4 4 4 -0.32741050495612
"146" 1 1 2 1.18165923091791 1 1 0.13918436622908 0.314319518701073 -0.271051031967501 0 1 0 0 0 0 2.41077547562043
"147" 1 1 2 0.914492313608314 1 2 -0.571805063297098 -0.752216268261691 -0.38632403201691 0 0 0 0 1 1 0.703542156404137
"148" 0 1 2 -0.000509511770946769 0 2 -4.66526071341301 -3.35350726790011 -2.81210171034232 0 0 0 4 5 3 -0.291943119267715
"149" 0 0 0 -0.121714969250356 0 1 -5.05751533385485 -2.91071094221727 -4.13685226820309 0 0 0 9 5 3 0.894403995341333
"150" 0 1 2 0.587429070936437 0 2 -3.21516489980601 -2.71825009260456 -2.10042999780791 0 0 0 8 1 2 2.35584331943028
"151" 0 0 2 0.484245125520499 0 2 -3.6856363990486 -3.07729179970527 -2.03309185501417 0 0 1 0 4 1 2.41125013977977
"152" 1 1 2 0.397805967047837 1 0 -1.73734740219079 -2.140593567018 -2.99647054631536 0 0 0 0 4 2 -0.790268485701947
"153" 0 1 1 0.665939048782188 0 0 -2.45164011900986 -3.81471417034874 -3.06984115479585 0 0 0 7 3 0 1.63624664318343
"154" 0 0 1 0.147336488853447 1 0 -3.25316731185995 -3.12539530318685 -4.21819806623981 0 0 0 4 2 7 0.28694342177779
"155" 1 1 2 0.872754295563109 1 2 -0.489171175013432 -0.836195763514519 -0.239099405005419 0 0 0 0 2 0 1.45932323992271
"156" 1 1 0 0.228285131040011 1 1 -1.9801719348406 -0.760662223475133 -2.48240862095141 0 1 0 0 0 1 -0.514498328848627
"157" 1 1 2 0.922786562942048 0 2 -1.99234385412691 -2.51665511793646 -0.12512601844644 0 0 1 1 3 1 1.37035764348936
"158" 1 1 2 0.96451991660824 0 1 -1.55934535536436 -2.08185034403039 -0.713976443782592 0 0 1 1 1 1 0.900124476359286
"159" 0 0 1 0.368925741233364 0 2 -3.6393166498401 -2.96855109991691 -2.22120641434451 0 0 0 4 2 2 2.26467538039016
"160" 1 0 0 0.436412162722118 1 2 -2.00801988169034 -1.18747636455254 -1.64627665948469 0 0 0 4 2 0 1.04021340945764
"161" 1 0 2 0.832410735802376 0 2 -2.24613103519615 -2.51226107126589 -0.581312207819098 0 0 0 4 2 1 1.93015659783805
"162" 0 0 0 -0.0829360216710711 0 2 -5.28761642952277 -3.86053891984705 -3.89888340718298 0 0 0 4 2 3 0.367779580754111
"163" 0 1 2 0.535807006079366 1 1 -2.39596834801587 -0.89022375905172 -2.25586847418099 1 0 0 1 0 1 2.22673621724786
"164" 0 1 1 0.532226667743154 1 1 -2.19337479599458 -0.451949332005951 -1.71848848194352 0 0 1 2 1 3 1.74779141492234
"165" 0 0 0 -0.204511011194303 1 0 -4.10693906684185 -3.25307720551813 -5.35971450341233 0 0 0 3 5 5 0.204864591025581
"166" 0 1 1 0.173809222388343 1 0 -2.85058020348694 -2.95778018301966 -3.85521500580986 0 0 0 3 1 2 0.244178507520502
"167" 0 1 2 0.536111426893544 1 2 -2.10373939688979 -1.36438400189413 -1.58557122094685 0 1 0 0 0 2 1.68274602088937
"168" 1 1 2 0.610443356214984 0 2 -2.30887339065193 -2.2275796800513 -0.641592494844385 0 0 1 0 1 0 0.691522602122181
"169" 1 1 0 0.530994798744543 1 0 -1.30105322638742 -2.03233561758975 -2.61564574725525 0 0 0 2 4 1 0.807208130157476
"170" 1 1 2 1.16512202886066 0 0 -1.14847849140028 -3.39182111338164 -0.777112229638495 0 0 0 2 2 1 2.86730234443687
"171" 0 1 1 0.333527749712728 1 1 -2.7197484830734 -0.952313389722609 -2.70242999331292 0 0 0 1 1 3 1.13428010617579
"172" 0 1 0 0.0738121888256363 0 0 -4.22771468399116 -4.42216838598877 -4.43441304330482 0 0 0 2 3 7 0.549129100029095
"173" 0 0 1 0.0520573386663181 0 1 -4.80204756831212 -2.61092236633668 -3.40460925791635 0 0 0 6 1 6 -1.12017629686027
"174" 1 0 0 -0.00560020982053895 1 2 -3.14829361952094 -1.2395803861341 -2.87091308447154 0 0 0 2 0 5 -1.25380836654178
"175" 1 1 0 0.274033993535209 1 0 -2.49100439085201 -2.02209286672943 -3.22470969990112 0 0 0 2 1 2 -0.177120605540452
"176" 0 1 0 -0.14947481543551 0 2 -4.86336756374402 -3.45595797095462 -3.66934708458791 0 0 0 9 6 1 0.405591853470472
"177" 1 1 1 0.660127899139173 1 0 -0.554973129524429 -1.99584618781599 -2.36684515132256 0 0 0 0 4 1 0.412835693499632
"178" 1 0 1 0.466100343022003 0 2 -2.99872821429197 -2.84383170147955 -0.832368016413576 0 0 0 4 1 3 0.187325218288318
"179" 0 0 1 0.462152627848002 1 2 -2.3076852668148 -1.80912716251459 -2.17908277036956 0 0 0 3 1 2 2.29807479617442
"180" 1 1 1 0.863443814072311 1 2 -0.135597624161119 -0.556430082835692 -0.144328439712045 0 0 1 0 0 0 1.68237896076411
"181" 0 1 2 0.409298529173345 0 2 -3.74317211417719 -3.14923329334061 -2.5090245620068 0 0 0 7 0 4 0.719017639219387
"182" 1 0 1 0.431491622746032 1 1 -1.53718376567108 -0.244225580089115 -2.05301857194772 0 1 0 4 0 4 -0.519772149582022
"183" 1 0 0 0.678625556080572 1 2 -1.5674973775828 -0.775599346021517 -1.38374680784776 0 0 0 2 0 1 1.41256486656861
"184" 1 0 2 0.796075307202163 0 1 -2.53364017816142 -2.06553810726612 -0.827393877946845 0 1 1 5 1 2 1.3067496119076
"185" 0 0 0 -0.202425936836098 1 0 -4.10585727648853 -3.38849029624083 -5.26442168617399 0 0 0 3 3 5 0.726887287944634
"186" 0 0 0 -0.0949419444271168 1 0 -4.22766547767604 -3.22155562984634 -5.19571102243659 0 0 0 2 3 11 0.599617186829713
"187" 0 0 0 -0.603742757666392 0 1 -6.07203110431953 -3.40282502093007 -5.15602160253504 0 0 0 5 1 8 -1.79349321707968
"188" 0 0 2 0.388553103622562 1 0 -2.84985028375665 -2.54478485333432 -3.52598621621707 0 0 0 0 1 4 1.9404273922269
"189" 0 1 1 0.19593922639425 0 0 -3.62469158631072 -4.15320664822753 -3.63765256063304 0 0 0 6 5 6 0.332401788076173
"190" 1 0 0 -0.223872718795797 1 2 -3.52823085385764 -1.65470079844887 -3.42373342962241 0 0 0 4 3 3 -2.0922907485031
"191" 1 1 1 1.04952142328859 1 2 0.0747472314721693 -0.466747815181536 0.318354933240787 1 0 0 0 0 0 1.77594483867452
"192" 0 0 1 0.238541018010512 0 1 -3.9357152540068 -2.65598279629124 -2.63020242681146 0 0 0 7 5 2 1.08397396002118
"193" 0 0 0 0.306711819293128 1 2 -3.12805818044146 -2.17823848425763 -2.29727168063778 0 0 0 1 2 2 2.9231128221934
"194" 1 1 0 0.527978249091012 1 0 -1.82199565763318 -2.11726858786342 -2.76657406310327 1 0 0 5 3 3 1.00637000100696
"195" 1 1 2 1.01847026349087 1 1 -0.420505842597362 0.175989346384531 -0.302427274767273 0 0 0 0 0 0 2.23475787495279
"196" 0 0 0 0.0691451526289869 0 1 -4.64601246052337 -3.16499489041106 -3.78042646375439 0 0 0 7 4 5 1.01733169485042
"197" 0 0 1 0.215624406766145 1 1 -2.78651708091511 -1.14639489104405 -3.12256282461366 0 1 0 1 0 6 0.979133647697985
