"A" "M_cont1" "M_cont2" "M_bin1" "M_bin2" "contY_2contM_mint" "contY_binMcontM_mint" "contY_2binM_mint" "binY_2contM_mint" "binY_binMcontM_mint" "binY_binMcontM_mint" "binY_2binM_mint" "C"
"14" 0 -0.4472431325095 -0.508662037801496 1 0 -6.49992774449466 -3.74565443414368 -3.02973729926276 0 0 0 0 -0.584764415956269
"15" 1 0.242312631143005 -0.112346306926939 1 0 -3.95175709606466 -1.32479181162982 -1.83037318279964 0 0 0 1 -0.115796811000085
"16" 1 0.668219771275037 0.712932567051219 1 1 -1.40422005234424 -0.0887479789279095 0.636902386842315 0 1 1 1 1.68572803311131
"17" 0 0.231625897576632 0.441286052403524 1 0 -4.04250719711905 -2.71493918024353 -2.77477068918901 0 0 0 0 2.13508763383058
"18" 0 0.059500159609068 0.431624718576175 1 1 -4.20188041849181 -2.95488497231819 -1.53565243444297 1 0 0 0 2.09280919355302
"19" 0 -0.222469013871755 -0.437689048531462 0 0 -5.78070311584025 -5.07703863052263 -4.72593267370954 0 0 0 0 -0.0839065442870499
"20" 1 0.274609660017 0.0292050211788939 0 1 -3.51601148861407 -3.401516920107 -2.36443168457728 0 0 0 0 0.0435411738387445
"21" 0 -0.329017533702268 -0.580829313316409 0 1 -6.09626648673263 -5.40724707155123 -4.01115862517765 0 0 0 0 -0.613346849337158
"22" 1 0.724850140337748 0.797421405454422 1 0 0.0654498492496802 0.254380479082087 -1.29467325073516 0 1 1 0 1.99794902251801
"23" 0 0.165791222993201 0.288870466306244 0 0 -4.2203953812089 -4.70508270070897 -4.9086072930522 0 0 0 0 1.801066684137
"24" 1 0.527238114596599 0.594625277517949 0 0 -1.61538748947503 -3.22140821492195 -4.26229088311867 0 0 0 0 1.8201047760212
"25" 0 -0.0764863340067756 -0.0527692233353463 1 0 -4.87958536584359 -3.13910020255625 -3.0799398772658 0 0 0 0 0.907206235377292
"26" 0 -0.0847188608355143 -0.157352278991869 0 0 -5.40945110085104 -5.05290677307465 -4.57040050752631 0 0 0 0 0.687748142337789
"27" 1 0.812431489769826 1.06707602810498 1 1 0.508073107711562 0.288089049855106 0.841326779207611 0 1 1 0 2.93903076500336
"28" 1 0.434865197435081 0.0810792375738806 1 0 -3.44349157559981 -0.63695762005595 -1.52366681601221 0 1 1 0 0.319515920143305
"29" 0 -0.114720246599366 0.258261479615894 1 1 -4.39394759757432 -3.44561659772008 -1.94626516519212 0 0 0 0 0.950920794601604
"30" 0 -0.0339081229365145 0.122954771863161 0 0 -4.92051996236831 -4.65135572315594 -4.99043197194036 0 0 0 0 1.12000937081117
"31" 0 -0.515689414895139 -0.180083892372188 1 1 -6.17888109371485 -4.33535582199964 -1.75638471336299 0 0 0 0 -0.308588787887879
"32" 1 0.544332170926516 0.601865196850897 1 0 -1.48697532041044 0.021660725170569 -1.62901824773126 0 1 1 0 1.59255501738923
"33" 0 -0.224704908000556 -0.46438825124005 1 1 -6.01233651300102 -3.66473606836291 -1.524407172545 0 0 0 1 -0.0403843740072645
"34" 1 0.226119233164833 0.166801075309206 0 0 -3.28021069861424 -3.57914486445825 -4.80998780278501 1 0 0 0 -0.195258393896444
"35" 1 -0.0604430512186662 -0.0446763219222856 1 1 -4.48776019795847 -2.17591412427773 0.435794418290669 0 0 0 1 -0.835423309976087
"36" 1 0.680441345729911 0.379072748186357 0 1 -1.83469833578244 -2.76880993398094 -2.78921826252346 0 0 0 0 1.09616533076723
"37" 0 -0.0627806403689333 0.0701672882804661 0 1 -4.58943020245291 -5.03494933026592 -4.14560203915953 0 0 0 0 1.19065479294453
"38" 1 0.603332239891373 0.497374624479777 1 1 -1.79900960307779 -0.0809090184830876 0.714268046210726 0 0 0 0 1.36148211784239
"39" 1 0.629035638474302 0.554566510350737 1 0 -1.21268480512904 0.0738769612744103 -2.02242492284764 1 0 0 0 1.93399699763769
"40" 0 -0.275850226669254 -0.212228102997773 1 0 -5.89573935185557 -3.56892674260026 -2.89436636304847 0 0 0 0 0.147082491852023
"41" 0 -0.0657111569071387 -0.137403740056054 1 0 -5.37356901483048 -3.72629707437191 -3.23616538178703 0 0 0 0 0.616968875396162
"42" 1 0.501743065923032 0.576632339346798 1 0 -1.7251358311217 -0.444424222880839 -2.13419379315371 0 0 0 0 1.12037628525467
"43" 1 0.841211051179865 0.695631789609787 1 1 -0.659925826949993 0.171651209387642 0.566969309460463 0 1 1 1 1.93073100234741
"44" 1 0.410156086895407 0.464923645096933 0 0 -2.32474586382765 -3.38765729830817 -4.29107832370698 0 0 0 1 1.15253204734302
"45" 1 0.983783583861096 1.09508739458144 0 1 0.939357929861495 -2.45246690487167 -2.59905629330945 1 0 0 0 3.280282024176
"46" 0 0.178722994858551 0.328101823657824 1 1 -4.072454979231 -2.69645483787082 -1.15632389374052 0 0 0 0 2.33701597866434
"47" 1 0.28999849329138 0.119196758106944 1 0 -3.35800418386922 -1.018179060287 -1.92513923105451 0 1 1 0 0.354500165955198
"48" 1 0.354275165094636 0.390163786056951 1 1 -2.37584016852192 -1.08619337515514 0.720871572068152 0 0 0 1 0.885664690174129
"49" 0 -0.0958956897985352 -0.181779386914244 0 1 -5.43909520572028 -4.84671066612745 -3.93938772173405 0 0 0 1 0.417976452899721
"50" 0 -0.551555182599934 -0.521107604042058 1 0 -6.8199899577956 -4.30094629226286 -3.32523315069546 0 0 0 0 -0.70285947477036
"51" 0 -0.115901436773098 0.0720368908216032 1 0 -5.32146325798999 -3.04460748544809 -3.13738127349938 0 0 0 0 0.737638180382835
"52" 0 0.13684646069643 0.0750876041412561 0 1 -4.65437740333676 -4.35506098196919 -3.74194286484575 0 0 0 0 0.84339349067095
"53" 0 -0.0657515886133788 -0.0864031482483629 1 1 -4.89842715928662 -3.16420561485004 -1.49135265000132 0 0 0 0 1.21418665135541
"54" 0 0.107581966373838 0.156593518160529 1 1 -4.24292000002117 -3.18403847144432 -1.36614842420581 0 0 0 0 1.41484575511801
"55" 0 -0.0926724626762536 0.073976976918753 0 1 -4.90091216531593 -5.14566366790244 -3.69403160218837 0 0 0 0 1.31093733823164
"56" 0 -0.261343837925954 -0.296157482201395 1 0 -5.95283871302713 -3.73501998892449 -3.28032259117465 0 0 0 0 0.375326486103717
"57" 0 -0.00975909065358664 0.32875923318807 1 1 -4.50767786692231 -3.17219960720054 -1.51499903925206 0 0 0 0 1.8231634929049
"58" 0 -0.0158568666322924 -0.342433636815646 0 0 -5.16311164363847 -5.0605778892423 -4.77618613386892 0 0 0 0 -0.140328519228992
"59" 0 0.539833046944409 0.353406367416021 1 1 -3.2431967045211 -2.34791370854893 -1.64413915356932 0 0 0 0 2.7318738678042
"60" 0 0.171758160313742 0.401329584844141 1 0 -3.80969378707703 -2.67666996910968 -3.2764155853212 0 0 0 0 2.90532251714139
"61" 0 0.129412520701797 0.0264275237966656 0 0 -4.65167799709817 -4.90743953273087 -4.65187951905668 0 0 0 0 1.04035643759684
"62" 1 0.331382725735251 0.366315339225907 1 1 -2.54795178253062 -0.637982341549004 0.652517593319584 0 0 0 1 0.789400360515109
"63" 1 0.286608808989145 0.0281153232978162 1 1 -3.3805396177401 -1.12106308399646 0.790914806738724 0 0 0 0 0.0315430519961709
"64" 1 0.330233330818268 0.241199946573211 1 1 -3.24951051701515 -0.610204097481445 1.01747396588819 0 0 0 1 0.915011012918122
"65" 0 -0.189773579078603 -0.161999234420548 1 0 -5.27684135692432 -3.40212766389847 -3.01990744563519 0 0 0 0 0.723110010740648
"66" 0 -0.0838595352820408 -0.0293506804050033 0 1 -5.16671469727777 -5.03887556391306 -3.88159702722079 0 0 0 0 1.15542396910217
"67" 0 0.165901174665784 0.504042780057936 1 1 -3.60247611981111 -3.02064622013973 -1.58134173239537 0 0 0 0 2.9637976934727
"68" 0 -0.137994427654968 -0.0306368771656661 0 0 -5.09227331509836 -5.06852522702679 -4.611192390749 0 0 0 0 1.02984448256902
"69" 0 -0.621691184548246 -0.681295121435158 0 0 -7.07777454275226 -5.89376118922057 -5.20469740909658 0 1 1 0 -1.51383458188245
"70" 1 0.418164888736448 0.637684653556859 0 1 -1.70304207539958 -3.44097431793876 -2.65370621413024 1 0 0 0 1.63844635472489
"71" 0 0.00542018694648486 -0.124527217302253 0 0 -5.02978073021906 -4.99491392733337 -4.94756075992611 0 0 0 0 0.924408214665426
"72" 0 -0.406673067967406 -0.485406233479467 0 1 -6.27097247469109 -5.66025751720644 -3.68436788454216 0 0 0 0 -0.157335113361228
"73" 0 0.0488358989314916 0.268247201140142 0 1 -4.33742893670689 -4.99254285309006 -3.68804705124905 0 0 0 0 2.09503998819015
"74" 1 0.226882739106143 0.219229407156513 1 0 -3.29842281291373 -1.16740362999887 -2.07333821769669 0 0 0 0 0.369785733491406
"75" 1 0.556018639018989 0.627678419383277 1 1 -1.36437558333339 -0.420602867927965 0.833852443352021 1 0 0 1 1.90473847898529
"76" 1 0.391805714974176 0.0924060484686961 1 1 -3.22457744265742 -0.736608995667585 0.888109601383669 0 0 0 1 0.18196922982784
"77" 1 0.548541326327639 0.468842849047753 1 1 -2.1286714990214 -0.467239167213927 0.77474266696713 0 1 1 0 1.18534943744489
"78" 1 0.535157762872638 0.637319163609355 0 1 -1.40314774634316 -3.00186397782348 -2.41631797562934 0 0 0 0 1.57805306607412
"79" 1 0.713509715231143 0.641462662375 1 0 -0.881810012395919 -0.120002847459047 -1.66955137069356 0 0 0 0 1.90350074118171
"80" 0 0.0445447363117419 0.154911831779062 0 0 -4.67154002412405 -4.86640163207326 -5.06032018250511 0 0 0 0 1.24054330539738
"81" 0 0.360414202962694 0.560053842784891 0 1 -3.23156299411675 -3.98393188284864 -3.27874661263978 0 0 0 0 2.76232246023163
"82" 0 -0.308696150766973 -0.456014794176774 0 1 -5.97909684370358 -5.82607622895915 -3.9926450125283 0 0 0 0 -0.0853641293740119
"83" 1 0.384624757853269 0.249063623101891 1 1 -2.71455950097104 -0.989562070535155 0.467411501154413 1 0 0 0 0.316337727807162
"84" 1 0.4211797377592 0.395237415795776 0 0 -2.36664858807566 -3.31200060091587 -4.03615836042071 0 0 0 0 1.1502229748834
"85" 0 -0.0281831235281063 -0.00245545776164573 1 0 -4.89799370234822 -3.28625745120629 -2.88241608185692 0 0 0 1 1.30072447000594
"86" 0 -0.125718814801855 0.0705459283047762 1 0 -4.75453134540557 -3.03421924574264 -3.39847834596624 0 0 0 0 1.29318597358495
"87" 1 0.523498647679003 0.664941164433998 0 1 -1.49560321804653 -3.07590455781284 -2.38933529486018 0 0 0 0 2.27783152438326
"88" 0 -0.241122330924795 -0.036336248885569 1 1 -5.37000998661331 -3.72712949717711 -1.70325822516246 0 0 0 1 0.532003433226254
"89" 0 -0.13858386854146 -0.159046857676838 1 0 -5.13983487818434 -3.36210830806477 -2.89510074101143 0 0 0 0 0.65587615181089
"90" 1 0.734620423538769 0.917347113709119 0 1 -0.140669644471428 -2.75157161181557 -2.79266520316904 1 1 1 1 2.60240770671039
"91" 1 0.240719799336634 -0.037464746811468 0 0 -3.66386775329721 -3.94153699297852 -4.4701616095758 0 0 0 0 -0.495975965000115
"92" 0 0.326650828499301 0.909469849510017 1 1 -2.6442495096113 -2.48005301694174 -1.05873184402126 0 0 0 0 3.94926203147731
"93" 0 -0.118711044837415 -0.224881720619071 0 0 -5.54396999768213 -4.88506362351861 -5.15304305959258 0 0 0 0 0.490970588820843
"94" 0 -0.0902844421296412 -0.102359882489957 0 1 -5.2018138818188 -5.01983952808336 -4.03269926956189 0 0 0 0 0.770192927740104
"95" 1 0.588974277224128 0.532915325060983 1 1 -1.86958614491327 -0.296863804372995 0.288316903463408 1 0 0 1 1.49766171343705
"96" 0 0.0999981125804043 0.561422491830317 0 1 -3.91454665310487 -4.65096443396804 -3.44716846545787 0 0 0 0 2.42788567712847
"97" 0 -0.133753688783765 0.120133260948072 1 1 -4.82111529915205 -3.10017129748294 -1.45439152009184 0 0 0 1 1.13950052337721
"98" 0 -0.141439330315803 -0.127720110688541 1 1 -5.33982129871858 -3.07887818173333 -1.65007814320766 0 0 0 0 0.730902514192729
"99" 0 -0.215543422773433 -0.178085182891785 1 0 -5.66196796747244 -3.1553979004073 -2.97386604833818 0 0 0 0 0.584477184216539
"100" 1 0.160057596732747 0.240386909487616 1 0 -3.43577113670661 -1.39475357940718 -1.84129882815762 0 0 0 0 0.108844179157673
"101" 0 0.167755017646682 0.144217366467273 0 0 -4.2530467337497 -4.93121544807284 -4.62013356411797 0 0 0 0 1.49373242880234
"102" 0 0.0549042690851483 -0.059864752538171 1 0 -4.67686915157561 -2.84098935307438 -3.19604838547727 0 0 0 0 0.737463651714994
"103" 0 -0.239949724579668 0.19093701269899 1 0 -5.15141834281652 -3.54963385630303 -2.83670771754197 0 0 0 0 1.08009287224976
"104" 0 -0.408383641757971 -0.115358702226348 1 1 -5.68156541210732 -4.05994431500552 -1.61212757279506 0 0 0 0 0.100508596553519
"105" 0 0.0097002176373491 -0.181415624373362 0 0 -4.80870609488908 -5.11859203424148 -5.21776809100355 0 0 0 0 0.400129705470254
"106" 1 0.0221965916771611 -0.106199765979158 0 0 -4.18772884732559 -4.20182677363867 -4.04104044606262 0 0 0 0 -0.832400765467156
"107" 1 0.406851681392925 0.515517123267727 1 0 -1.86237629355342 -0.72338244729589 -1.69495285417051 0 0 0 1 1.16874302113298
"108" 1 0.65097615258295 0.94646155364698 0 0 0.0779013928707174 -2.98380052903398 -4.01327016050987 0 0 0 0 2.31938502959582
"109" 0 0.0247600640138173 0.212189398623642 1 1 -4.30517322749984 -2.91108956101755 -1.58338281048833 0 0 0 0 1.74481882214854
"110" 0 0.112668337771639 0.279672800724858 1 1 -4.24774747921765 -2.84179927402875 -1.4343492561577 0 0 0 0 2.19794176002485
"111" 1 0.876204522057006 0.968363175288024 0 1 0.121106467796376 -2.88280768782602 -2.49363955550205 1 0 0 0 2.68221596653236
"112" 1 0.806141235023859 0.783546051882188 1 1 -0.362228191303857 0.344030658588723 0.946040001720463 1 0 0 0 2.30613478484245
"113" 0 0.0602254055394645 0.187834747599095 0 0 -4.5729752081309 -5.27935857240446 -4.68591284293896 0 0 0 0 1.84609349616002
"114" 0 0.0956174363416777 0.408629401570126 0 1 -4.1464611859831 -4.83398195459154 -3.47417783685133 0 0 0 0 2.27310972860519
"115" 1 0.569781660865917 0.611069153416377 1 1 -1.57909672704634 -0.489631633079595 1.04154371351988 0 0 0 1 1.01011479195254
"116" 0 -0.132222831383795 0.013209629066104 0 0 -5.36523172027141 -4.88475366169493 -5.08232758913741 0 0 0 0 0.961270896059347
"117" 1 0.339774747534626 0.139113946148976 1 1 -2.96589607302193 -0.620495400095442 0.367742768910707 0 0 0 0 0.581691443577195
"118" 1 0.314775013400409 0.0698837179659166 1 1 -3.50948036936786 -1.34598386436218 0.797179114248117 1 1 1 0 -0.529625883663519
"119" 0 -0.538001232276273 -0.619705970877392 0 0 -6.59366690879748 -5.8829988527545 -5.01517388622577 0 0 0 0 -1.13424060601105
"120" 1 0.284099103757158 -0.107638733549744 0 1 -3.82202358387656 -3.82268254576644 -2.50406130506166 0 0 0 0 -0.209444837609009
"121" 0 0.134792593537134 0.125170919192629 1 0 -4.74227828922284 -2.80708444660947 -3.10467526260368 0 0 0 0 1.51118039543578
"122" 0 0.244447551255697 0.239707232187123 1 1 -3.93256075887854 -2.75529416809086 -1.51466885957176 0 0 0 0 1.84584077426843
"123" 0 -0.233773544291464 -0.34688291431553 0 0 -6.07554510494045 -5.22385679280036 -4.80211655303117 0 0 0 0 0.0794829049931629
"124" 0 0.32999877279146 0.455128175105141 1 1 -3.51910569317238 -2.55000881766024 -1.18555707525206 0 0 0 1 2.3040775339894
"125" 0 -0.105027724646182 -0.314618796791501 1 0 -5.78222431867468 -3.36710652903714 -3.46415732563089 0 0 0 0 0.130232431774452
"126" 0 0.0385037466241189 0.229418349451767 1 0 -4.56006010098847 -2.95394014377691 -2.82117021924461 0 0 0 0 1.96586512995034
"127" 1 0.53478833505318 0.510654173732615 1 1 -2.14303358434081 -0.840869200189676 0.756601000919186 0 1 1 1 1.43490744896271
"128" 1 0.455872544627676 0.610011994051894 1 1 -1.91594258145452 -0.358613559435843 0.728489832169836 0 0 0 0 1.55933091081022
"129" 0 -0.181603523960642 -0.0947974999920263 1 1 -5.37177894279002 -3.38313443982537 -1.78333764407838 0 0 0 0 0.685504394699142
"130" 0 -0.117838847479793 -0.148317831602012 1 1 -5.53931910714694 -2.83318249838743 -1.63429886476373 0 0 0 0 0.917373605118799
"131" 0 -0.190855426807389 -0.054049877048317 0 1 -5.20991322302961 -4.66275322186503 -3.89577303738168 0 0 0 0 1.00325162932047
"132" 1 0.496762028642867 0.452962839358249 1 0 -1.53503329440266 -0.74975815081111 -1.51146259616438 0 1 1 1 1.51387651528158
"133" 1 0.0505013558360842 -0.0646479691846502 1 1 -4.31412966144606 -1.50852990941566 0.484496143686718 0 0 0 1 -1.15980339424932
"134" 0 -0.308960684356718 -0.282504119940312 1 0 -6.10919518435265 -3.75186431053966 -3.31361023118735 0 0 0 0 0.0874626565299924
"135" 0 -0.493956362647316 -0.491962265585436 0 0 -6.70179901153592 -5.66470715820578 -4.94498999395876 0 0 0 0 -0.634071464560088
"136" 0 0.291364087261481 0.284691355656954 1 1 -4.20560997369059 -2.3258039940571 -1.71926854519614 1 0 0 0 2.39817327097435
"137" 0 0.042433346809905 -0.213655977902456 1 1 -5.23260768597516 -2.75659406208775 -1.58362621042717 0 0 0 0 0.684486578986723
"138" 0 0.40084119611234 0.591710296382145 0 0 -2.87963543114464 -4.30871843469549 -4.56778757631761 0 0 0 0 2.73572789702512
"139" 0 0.0238024168192606 0.248086545163159 0 1 -4.39691599132488 -4.82198517798108 -3.9297037411027 0 0 0 0 1.18701887790573
"140" 1 0.524332415375627 0.294235944169635 1 1 -2.54094701506867 -0.0613828469313444 0.579577045619739 0 1 1 1 0.794993925451335
"141" 1 0.423832694406493 0.636521944587651 1 1 -1.82705196655422 -0.278349964053336 0.420129129287594 0 1 1 1 1.73114355403334
"142" 0 0.0687141348721471 0.0223838642161965 1 0 -5.03172378941908 -3.08601711854163 -2.72589775710938 0 0 0 0 1.05725196136345
"143" 0 0.398874354733523 0.823016052171953 0 0 -2.6782924544431 -4.12864297007019 -4.51935264465112 0 0 0 0 3.39757418346288
"144" 1 0.22251869474299 -0.0295599014624668 0 0 -3.72282930473429 -3.52265339039843 -4.21006616229272 0 0 0 0 -0.154818101642772
"145" 0 -0.264440037865916 -0.26574002966412 1 0 -5.64638986330595 -3.6764343938972 -3.30269650143022 0 0 0 0 -0.32741050495612
"146" 1 0.787448770257471 0.845386551645717 1 1 -0.112747837783581 0.604196567319004 0.465630506196679 1 1 1 0 2.41077547562043
"147" 1 0.408298670494842 0.450290241173226 1 0 -2.27042770728102 -0.77229945907407 -1.81530865923354 0 0 0 0 0.703542156404137
"148" 0 -0.153936792065785 -0.453716832216537 1 1 -5.96493690250626 -3.48441245599879 -1.51118458915462 0 0 0 0 -0.291943119267715
"149" 0 -0.196103302532866 0.0292147130887332 0 0 -5.15807540857267 -4.9460349052567 -5.11776532355245 0 0 0 0 0.894403995341333
"150" 0 0.525666233230735 0.506319717521721 1 1 -3.13890779303417 -1.82975074275846 -1.8578023254935 0 0 0 0 2.35584331943028
"151" 0 0.223473815030079 0.525769477887819 0 1 -3.68885267115099 -4.20912322166918 -3.40473308095107 0 0 0 0 2.41125013977977
"152" 1 0.0286024980510938 0.00359809342192907 1 1 -4.27891286651112 -1.87194757169538 0.507917519588968 0 0 0 0 -0.790268485701947
"153" 0 -0.0353761735490604 0.247431098048308 1 1 -4.11971615118793 -2.76777843067233 -1.66853144260379 0 0 0 0 1.63624664318343
"154" 0 -0.161204884806898 -0.299425099390959 0 1 -5.75337126712104 -5.21884116495513 -3.68340374617602 0 0 0 0 0.28694342177779
"155" 1 0.477639508566904 0.556406152402625 1 0 -1.71093499366451 -0.689860942953951 -1.58460799613164 0 0 0 0 1.45932323992271
"156" 1 0.0764224809544317 -0.0540246649884066 1 1 -3.99741363954835 -1.9772482691845 0.361021116968566 0 1 1 0 -0.514498328848627
"157" 1 0.407828485378985 0.452420453258023 1 0 -2.30309061873484 -0.837866753026896 -1.57069914433054 0 1 1 0 1.37035764348936
"158" 1 0.275712055027888 0.582736626666566 1 1 -2.07285966022315 -1.32014141196346 0.456983723000927 0 0 0 0 0.900124476359286
"159" 0 0.252547638048612 0.447121198361484 0 1 -3.67837597676858 -4.26549393425857 -3.58527274856457 0 0 0 0 2.26467538039016
"160" 1 0.717447488267892 0.524972158917815 0 0 -1.33042038301778 -2.93956038332391 -4.01910098492893 1 0 0 0 1.04021340945764
"161" 1 0.721556653536441 0.782102247160045 0 1 -0.509905931549593 -2.75777042560758 -2.34613367942385 1 0 0 0 1.93015659783805
"162" 0 0.00704879006542772 -0.192187939929639 0 0 -5.35667570404514 -5.05208037176853 -5.24959856817506 0 0 0 0 0.367779580754111
"163" 0 0.208195960913562 0.232965469016954 1 1 -4.39155892558948 -2.57792981768138 -1.62032108512385 0 0 0 0 2.22673621724786
"164" 0 0.101826672743926 0.231508871807631 1 1 -4.58321200738598 -2.49920932289006 -1.2764964838812 0 0 0 1 1.74779141492234
"165" 0 -0.107140872982957 -0.268124705781725 0 0 -5.44480433048578 -4.88164625309768 -4.99159468326258 0 0 0 0 0.204864591025581
"166" 0 -0.188106926288101 -0.211327368635427 1 1 -5.64369647094068 -3.63994057245182 -1.56807160610888 0 0 0 0 0.244178507520502
"167" 0 0.230112283884646 -0.00486215997851797 1 1 -4.36070809910121 -2.41921557606716 -1.25057178935523 0 1 1 0 1.68274602088937
"168" 1 0.36695600971128 0.379490227140509 1 0 -2.30838766952629 -0.646885256744227 -1.46247920727435 0 1 1 0 0.691522602122181
"169" 1 0.265374687410138 0.502336357288974 1 0 -2.40956055964866 -0.995436367805419 -1.57763534474433 0 0 0 1 0.807208130157476
"170" 1 0.829120091842581 0.971480211066894 1 1 0.442937424238191 0.498067107040554 1.19264371264019 1 1 1 1 2.86730234443687
"171" 0 0.122833651959964 0.0126316545608726 1 0 -4.98337439587732 -2.96806291178266 -3.40277994279583 0 0 0 0 1.13428010617579
"172" 0 -0.236532184885093 -0.134968238153954 1 0 -5.23871914277702 -3.27696666331641 -3.06727498319097 0 0 0 0 0.549129100029095
"173" 0 -0.475428867996459 -0.736689029167986 0 1 -6.93047660594587 -5.38143700793243 -3.89831246751572 0 0 0 0 -1.12017629686027
"174" 1 -0.0613346795265692 -0.203557533161308 0 0 -5.0011204169165 -4.23771587337661 -4.35971266483046 0 0 0 0 -1.25380836654178
"175" 1 0.300238508818899 0.0662300196681371 1 0 -3.84181728470564 -0.901520445564068 -1.67277768697154 0 1 1 0 -0.177120605540452
"176" 0 -0.0878720365330717 -0.258474726907409 1 0 -5.35583842381481 -3.28776602575423 -3.40029241680399 0 0 0 0 0.405591853470472
"177" 1 0.38014949813822 0.195619808194423 1 1 -2.55836104180333 -1.08348739228426 0.412899050399099 0 0 0 1 0.412835693499632
"178" 1 0.278973504876596 0.064061657445854 0 1 -3.45137656402968 -3.997474093677 -2.06456870245758 0 0 0 0 0.187325218288318
"179" 0 0.24207502538221 0.472816573338583 0 1 -3.70210793804931 -4.61863713205594 -3.71095750049596 0 0 0 0 2.29807479617442
"180" 1 0.67890894408921 0.855582513664559 1 1 -0.326792905067321 -0.127048617021588 0.728783932143332 0 0 0 0 1.68237896076411
"181" 0 -0.0318941717748635 -0.123347245605018 1 0 -5.18415545313821 -3.0970745510029 -3.44576191451882 0 0 0 0 0.719017639219387
"182" 1 0.426591812646469 0.10481723849403 0 0 -2.88656941405936 -3.46167867985476 -4.51600181743979 0 0 0 0 -0.519772149582022
"183" 1 0.618872414281082 0.54665576688859 0 0 -1.55843221784347 -2.68540348317179 -4.24099792000891 0 0 0 0 1.41256486656861
"184" 1 0.656939739133903 0.457277716187178 0 1 -1.61795288843746 -3.01443452465188 -2.21954449235117 1 1 1 0 1.3067496119076
"185" 0 0.173690406375134 -0.100718709438927 0 0 -4.75495847210663 -4.68006180859067 -4.90005499986901 0 0 0 0 0.726887287944634
"186" 0 -0.31865570352728 -0.0796702751793756 0 0 -5.91833835799534 -5.10394247407908 -5.02481552246778 0 0 0 0 0.599617186829713
"187" 0 -0.601056282267935 -0.860388615745825 0 0 -6.94451919269154 -5.92409255965159 -5.26928463873553 0 0 0 0 -1.79349321707968
"188" 0 0.220107576713023 0.263499727406577 0 1 -4.21945307336673 -3.98065576127869 -3.22538180273768 0 0 0 0 1.9404273922269
"189" 0 -0.341744642276185 -0.15302997160078 1 1 -5.46046936396776 -3.5658236116418 -1.39034316814269 0 0 0 0 0.332401788076173
"190" 1 -0.189257258666112 -0.569507857500554 0 0 -5.80446315610526 -4.85751241231465 -4.47598799203082 0 0 0 0 -2.0922907485031
"191" 1 0.461543072396815 0.629458486668953 1 1 -1.56713661491785 -0.559044441429179 0.819312086663616 0 0 0 0 1.77594483867452
"192" 0 0.0244393760876427 0.0548050139906489 0 0 -4.65493037257467 -4.82665554498607 -4.65957625923038 0 0 0 0 1.08397396002118
"193" 0 0.330121179690245 0.724899864413254 0 0 -3.34425005491152 -4.48209306862934 -4.34935295536541 0 0 0 0 2.9231128221934
"194" 1 0.356472927849153 0.534279967016728 1 0 -2.60960845662539 -0.861733561025452 -1.7225305612853 0 0 0 0 1.00637000100696
"195" 1 0.735635433587797 0.675630204345231 1 1 -0.909604934663035 0.341514386995244 0.760632198250984 0 0 0 1 2.23475787495279
"196" 0 0.113338589551187 -0.23181719455719 0 0 -4.85252705769148 -4.82898858294963 -5.10488773848656 0 0 0 0 1.01733169485042
