"A_bin" "L_bin_binA" "L_cat_binA" "M_cont_binA" "M_bin_binA" "M_cat_binA" "contY_binMcontMbinA_EMint" "contY_catMbinMbinA_EMint" "contY_catMcontMbinA_EMint" "binY_binMcontMbinA_EMint" "binY_catMbinMbinA_EMint" "binY_catMcontMbinA_EMint" "countY_binMcontMbinA_EMint" "countY_catMbinMbinA_EMint" "countY_catMcontMbinA_EMint" "C_cont"
"70" 0 0 0 -0.233114085363448 0 1 -5.66659457700231 -3.23812872070902 -4.23094221939888 0 0 0 5 2 5 -0.294383737453786
"71" 0 0 0 -0.211457278376617 0 0 -5.40629272225668 -4.97211750153753 -5.47209306652072 0 0 0 5 5 7 0.143319602138848
"72" 0 0 2 0.4031783273956 0 2 -3.78899612885435 -3.76458765664773 -2.3296251364885 0 0 0 6 1 3 1.53917255039605
"73" 0 1 2 0.224698403497917 0 0 -4.07634941802266 -4.43382824698346 -3.97783944241025 0 0 0 4 6 4 1.16744505749162
"74" 0 1 2 0.355816700091225 0 2 -4.03228126675536 -3.42816938748377 -2.23778479531782 0 0 0 5 4 4 1.37565464126271
"75" 1 1 0 0.253305939872189 1 1 -2.03736463268367 -0.875543884634429 -2.20719276052054 0 0 0 1 0 1 -0.36693919907101
"76" 1 0 2 0.364762795463681 0 2 -3.08324021762831 -2.86900107301436 -1.47731982981891 0 0 0 2 1 2 -0.0972592786381996
"77" 0 0 2 -0.0200006552993792 0 1 -4.69492457648909 -2.74749836894436 -3.67952186173342 0 0 0 5 0 3 0.848688798271555
"78" 1 1 1 1.0179141377035 1 0 -0.10464990519622 -1.7616545402831 -1.30329192319953 0 0 0 0 6 0 1.37227929174227
"79" 1 0 0 0.489320951803715 1 1 -1.83238323341798 -0.419332856834996 -1.71185354704552 0 1 0 2 1 1 1.46740498147063
"80" 0 1 0 -0.0299031328291307 0 1 -4.8368299606777 -2.8289039718346 -3.48689463547023 0 0 0 5 2 1 1.01370191459586
"81" 0 0 1 0.115019828050949 1 2 -2.930100787521 -1.65123075190061 -2.90024236684484 0 0 0 4 4 3 0.178423806502376
"82" 1 1 2 0.694440495620613 0 2 -2.57852494113496 -2.05836033695795 -0.712863365493451 0 0 1 2 0 0 0.555907663388359
"83" 0 1 2 0.0340890445052761 1 0 -3.46467566457596 -3.07336923981518 -4.41089796607 0 0 0 4 4 8 -0.618136730591581
"84" 0 0 0 -0.259142787102032 1 2 -4.19329793601906 -2.15838955321263 -3.91370601466473 0 0 0 2 1 4 0.243397386736532
"85" 0 0 1 0.408387433580904 1 1 -2.26759303095536 -1.27361248436544 -2.2041771833345 0 1 0 2 1 2 2.09798117456535
"86" 0 0 0 0.208049965012443 0 2 -4.70976721484884 -3.66348809407664 -3.03346927290196 0 0 0 3 1 3 2.43539791453491
"87" 0 0 1 0.530954510000136 1 0 -2.29368987396707 -3.08583426814485 -3.40358388349715 0 0 0 2 2 2 1.67710455331195
"88" 1 1 0 1.08683681696691 1 2 -0.391802337911957 -1.08070986808315 -0.238238586341366 0 1 1 0 1 0 2.08349960032691
"89" 1 1 0 0.395187437129473 1 1 -1.49289294382603 -0.394137540073932 -1.8847466442366 0 1 0 2 0 3 0.56458025533433
"90" 0 1 1 0.314612011709373 1 2 -2.86774195652158 -1.63448757794034 -2.378726096494 0 0 0 0 3 2 1.18862396241619
"91" 1 1 2 0.673434635261891 1 1 -1.2443488362114 -0.392322865801996 -1.31953229630333 0 0 1 1 0 0 0.640328333929841
"92" 0 1 1 0.812391973719886 1 1 -1.08349678008967 -0.62754011304791 -1.25077152409461 1 0 0 1 0 2 3.07855714383527
"93" 0 0 1 0.262318369718285 1 0 -3.08017163016368 -3.11657428654775 -4.0644147970604 0 0 0 3 1 1 0.497954228180702
"94" 1 1 1 1.00897424769007 1 2 -0.499225795391886 -0.513459693713979 -0.0428633752796646 1 0 1 0 1 0 0.943391211018835
"95" 0 0 1 0.0979778241449874 0 1 -4.749638807159 -2.29570654288544 -3.31626959400087 0 0 0 4 3 4 1.35450377260322
"96" 0 1 0 0.0731030330416568 1 1 -3.17973248669129 -1.30112488488413 -3.09744516026382 1 0 0 4 2 1 0.786390870044363
"97" 0 1 1 0.585224797104278 1 1 -1.64142070409983 -0.596267969935308 -1.88793959627916 0 1 0 0 0 4 2.73516233542038
"98" 0 1 0 -0.228804784629039 0 1 -5.15390506479757 -2.91755371858264 -3.91879939156014 0 0 0 9 4 3 -0.188880578383662
"99" 1 1 1 1.17175382777538 1 2 0.338491929893274 -0.298189110546846 0.783759499204604 1 0 0 0 0 0 1.61648806657419
"100" 0 0 0 0.0592765547811645 0 2 -4.80931045156412 -3.67138453770983 -3.47586652005585 0 0 0 6 5 2 1.36174995903171
"101" 1 0 0 0.33255338068524 1 1 -1.9219841766734 -0.880066028773929 -2.0600731100226 0 1 0 1 1 3 0.489265450913749
"102" 1 0 2 0.275025524985475 0 2 -3.65068993295152 -2.68024159962792 -2.09095972894867 0 0 0 5 3 1 -0.759411272765998
"103" 0 1 1 0.253088291524634 1 0 -2.36666007946067 -2.67472327148917 -3.75750695234287 0 0 0 2 3 1 0.224980005619266
"104" 1 0 2 0.439506935365209 0 0 -3.17868162855632 -3.92483408429394 -3.1899757416662 0 0 0 2 5 5 -0.47615679763287
"105" 0 1 2 0.267375120527276 0 1 -4.14061854910546 -2.81675369807091 -2.71677195072118 1 0 0 5 3 2 1.35887295496021
"106" 0 1 1 0.186575201348095 1 1 -2.50169007948269 -0.977833303156122 -2.8141596594841 0 0 0 3 1 3 0.202749276066421
"107" 1 1 2 0.835757521693388 0 1 -2.06093185849408 -1.49311132444245 -0.826535120066621 0 1 0 2 2 0 1.4653175874164
"108" 1 0 2 0.951531196642831 1 2 -0.734552380707832 -1.07749985974966 -0.249262901924658 0 0 0 0 1 0 1.9790012880452
"109" 0 1 2 0.537360417124459 1 1 -2.19125809522753 -1.35467870579476 -2.00176074097066 0 0 0 3 2 2 1.99357846651623
"110" 0 1 2 0.361939318709387 0 0 -3.72682293060052 -4.56516656043616 -3.95848366043531 0 0 0 3 5 5 0.758297278827699
"111" 1 1 0 0.512942529400944 1 0 -1.64659005672362 -2.06903026070379 -2.55445355160372 0 0 0 2 3 1 0.919745425099704
"112" 1 1 2 0.742806391156266 1 2 -0.809891706199145 -0.718358898129602 -0.326380402710996 0 0 0 0 1 4 0.37630266483358
"113" 1 0 1 0.925746207125335 1 0 -0.479858545794373 -1.84533736751849 -1.97343112058357 1 0 0 1 0 0 1.24320473934984
"114" 0 1 0 0.00473241223975862 0 2 -4.48836864489611 -3.30917674618329 -2.94563084440667 0 0 0 3 1 2 1.04601822784173
"115" 0 0 1 0.211689944447793 0 2 -3.79188606422104 -3.31638368674766 -2.88667059328056 0 0 0 2 2 4 0.865398014483008
"116" 0 1 0 0.182820020084219 1 2 -3.22746344025967 -1.89683329797303 -2.93484851013095 0 0 0 9 2 5 1.21915202332084
"117" 0 0 2 0.231830291060423 0 1 -4.57417459402733 -2.82871146861198 -3.25470297388081 0 0 0 5 1 5 0.989572575109197
"118" 0 1 2 0.325489171279967 1 2 -2.29243653164242 -1.72840712967379 -1.7519139124878 0 0 1 4 2 1 1.71541257439172
"119" 0 1 2 0.411296232297692 0 2 -3.50047194856905 -3.21624675836639 -2.2008098817811 0 0 1 3 4 1 1.60944658919773
"120" 0 0 1 0.492213471366356 1 1 -2.25448698898331 -0.823147129819301 -2.34561763667863 0 1 0 1 0 2 1.42645583858009
"121" 0 1 1 0.527764822543015 1 2 -2.1011605912569 -1.43864786759289 -1.79474793174343 0 0 0 1 0 3 1.0465603031293
"122" 1 0 1 0.676561872328003 1 2 -1.09289015815847 -0.868123477520521 -1.24187065433007 1 1 0 1 2 2 0.885514086497243
"123" 0 1 0 -0.0724331757224946 1 0 -3.40688567946501 -3.15988579414229 -4.66420221293647 0 0 0 5 3 5 0.335588803659645
"124" 0 0 2 0.127404362032439 1 0 -3.06736245390864 -2.91255941471686 -4.32016646764274 0 0 0 3 2 4 0.192745230839725
"125" 1 1 1 1.28930984130849 1 2 0.134377692182464 -0.657112985185646 0.766423686637659 1 1 1 0 0 0 1.90800546635527
"126" 0 0 2 0.559727541716183 0 1 -3.38581996858219 -2.43851704717914 -2.24794425657718 0 0 1 7 2 1 2.24427188568329
"127" 1 1 0 0.472111562560057 1 2 -1.59609097547442 -1.38922478276741 -1.30917359250331 0 0 0 1 0 2 0.409979558945609
"128" 0 1 0 -0.0901273213422599 1 1 -3.60020573429693 -1.61318186215236 -3.3399284286555 0 1 0 3 2 6 0.894667030303198
"129" 0 0 2 0.145036655473806 0 2 -4.66760233613381 -3.77950440706456 -2.95630588722277 0 0 0 2 3 3 0.232197675616343
"130" 1 1 1 0.83892456152643 0 1 -1.91989264999947 -1.91491811664497 -0.214940016888656 0 0 1 1 1 0 0.960793645285692
"131" 1 1 2 0.855515653112654 1 2 -0.907080135608644 -0.924002033418803 -0.0498466562180451 1 1 1 3 0 0 0.490898891023025
"132" 0 1 0 -0.0852536473765401 1 2 -3.48878535337324 -1.98632561573625 -3.19009552119177 0 0 0 2 2 1 0.275214595970697
"133" 1 1 1 0.748014539533415 0 1 -2.09440838835221 -1.21661885905889 -1.08968919999652 0 1 0 2 0 0 0.586889573759982
"134" 1 1 0 0.255709325226487 1 2 -2.15111585105383 -0.899306863525425 -1.93465360962198 0 0 0 3 0 0 0.109638603788431
"135" 0 1 0 0.17847066214614 0 1 -4.03928517334456 -2.70839156053206 -2.80637057299405 0 0 0 6 3 3 2.21050482295144
"136" 0 0 0 -0.108473733219903 0 0 -5.39006809533094 -5.24690582483685 -4.92885660762324 0 0 0 5 5 4 0.642704967584623
"137" 1 0 2 0.66961673867281 1 2 -1.26562059831568 -1.09979457774352 -1.03708365193805 0 0 0 2 2 3 0.811441403991104
"138" 1 0 2 0.804483362208605 0 0 -2.27809862263354 -3.83975828725468 -2.2172403715595 0 0 0 7 4 2 1.15191691411092
"139" 0 1 0 -0.0619840661665551 1 2 -3.79877456661056 -1.7074663076346 -3.35445593922749 0 0 1 2 4 4 0.612023813825149
"140" 0 1 1 0.291590253216409 1 0 -2.58404747139159 -2.57903334430043 -3.62103829615782 0 1 0 2 1 2 0.910124197442656
"141" 1 1 2 0.8611993078332 1 1 -0.93501997720223 -0.130432233081464 -0.788177760295692 0 1 0 1 0 1 1.67806494813749
"142" 0 0 0 -0.290479416251731 0 1 -5.25738680714693 -3.25457308628073 -4.69223123913247 0 0 0 2 1 3 -1.02900904648086
"143" 0 0 1 0.131854024243734 1 1 -2.94241636379894 -0.957283149178133 -3.32707360345207 0 0 0 4 1 2 0.793564555597448
"144" 0 0 0 -0.0123512489948549 0 1 -4.87851331934029 -2.92983627437201 -3.78840848659848 0 0 0 7 2 6 1.38303280978884
"145" 1 1 2 0.849659108676053 1 1 -0.614518708719117 -0.00980321648675777 -0.450970988395265 1 0 0 1 0 0 2.26050346598598
"146" 1 0 0 0.698240436561084 1 1 -1.6952534919647 -0.59126398166274 -1.14553755226171 0 0 0 4 0 1 2.23360763590714
"147" 0 1 0 0.0219952180189317 1 0 -3.4628473814836 -3.05138016401594 -4.48149012766004 0 0 0 5 5 3 0.832241009562739
"148" 1 1 1 0.705155800562137 1 2 -0.534009401363685 -0.252164237314291 -0.7543248237195 1 0 1 0 1 0 0.787004348523157
"149" 1 1 0 0.484393502655652 1 2 -1.76898887373991 -1.19214584086555 -1.20447870801407 1 0 0 4 0 3 0.663085445664997
"150" 0 0 0 -0.250850032817618 1 0 -4.65175422468658 -3.46295680773178 -5.38989302982661 0 0 0 4 3 6 -0.0683750817834412
"151" 1 1 1 0.797803175831116 1 2 -0.470009404051458 -0.462959507140959 -0.833382826943136 1 0 0 0 0 0 0.398029743815816
"152" 0 0 0 0.197435274815888 1 2 -3.29316191939569 -2.21261250598547 -2.84642247737918 0 0 0 1 1 4 1.64510217776547
"153" 1 1 0 0.33744676173872 1 2 -1.97589031896049 -1.27092244874891 -1.52621724897377 0 0 0 6 0 1 0.488616168319444
"154" 1 1 2 0.830800208041362 0 2 -1.9686520696587 -2.55601247181223 -0.41993440837133 0 0 1 1 1 0 1.48005644220641
"155" 0 0 2 0.30008492544119 0 0 -4.00598355997457 -4.55995916197893 -4.00477349462786 0 0 0 2 3 9 1.84403894355194
"156" 0 0 1 0.282194168080124 0 0 -4.21503576879958 -4.49854971414864 -3.60741621315017 0 0 0 2 4 9 0.645437788027638
"157" 0 0 0 -0.391367619611241 0 1 -5.68174029179778 -3.68448949085028 -4.79489100717736 0 0 0 5 3 3 -0.695436678180775
"158" 0 1 2 -0.013966212930229 0 2 -4.77608555247095 -3.43370503902756 -2.75200256485277 0 0 0 3 7 5 -0.179176445615339
"159" 1 0 1 1.00970554706921 1 0 -0.365668452838058 -2.05790364764598 -1.67883365377123 0 0 0 0 3 0 2.28601849040953
"160" 1 1 1 1.18616627123069 0 2 -1.02198842079074 -2.12057707285037 0.714999777637289 0 0 1 3 2 1 2.66034616868716
"161" 0 1 1 -0.0110140522898305 0 2 -4.32164623967682 -2.93931427419759 -2.74872765972815 0 0 0 7 0 6 -0.626716063474701
"162" 1 1 2 0.603472348404294 0 0 -2.80080925761117 -3.71882365163504 -2.53858482416482 0 0 0 2 2 4 0.99317041511571
"163" 1 1 1 1.09528906712405 1 2 -0.0658711033697965 -0.424544077289389 0.386222039195035 1 0 0 0 0 0 2.05603282655549
"164" 1 1 1 1.07302520408482 1 0 0.300098620001847 -1.39120610259343 -1.43841199804608 1 0 0 0 2 5 2.19928878022608
"165" 1 0 2 0.85176707049415 1 2 -0.895270576222294 -0.534897826122451 -0.675219244059524 1 0 1 0 3 0 1.83629839253378
"166" 0 0 2 -0.115735883051686 0 1 -4.89863860547559 -2.74935485186709 -3.88836984373254 0 0 0 4 2 5 0.0217544087837415
"167" 1 1 1 0.66050831141176 1 2 -0.585895086268087 -0.58830903712472 -0.933146042286565 0 0 1 1 1 0 0.440363446349083
"168" 0 0 2 0.631778153485469 0 1 -3.09580732525929 -2.58206737742988 -1.99685643216837 0 0 0 3 1 1 2.9862346595344
"169" 0 0 2 -0.0545283618861855 0 1 -4.75215472344124 -2.85348209225949 -3.47022653551646 0 0 0 1 2 3 0.0435248571397808
"170" 1 1 0 0.897195185809265 1 2 -0.315698772936162 -0.501166203955954 -0.270225175870731 0 0 1 0 0 0 2.6343641441066
"171" 0 0 1 -0.020027729589274 0 0 -4.93786992964218 -4.28773682245665 -4.48023539739343 0 0 0 3 6 11 0.143879370319291
"172" 0 0 1 0.204569596996921 0 1 -4.00276288618099 -2.41718716805168 -2.30607276189184 0 0 0 3 4 3 1.5119973241843
"173" 0 1 1 0.395249001750208 1 1 -2.21337141192124 -0.996889944056652 -2.20193487570713 0 1 0 4 0 2 1.61475222758084
"174" 0 1 0 0.148055484516366 0 2 -4.31814158027991 -3.25264785058571 -2.66832547405221 0 0 0 3 1 1 1.49690375766917
"175" 0 1 2 -0.0170030915893646 1 0 -3.23598775270057 -2.86385029981299 -4.15034112748984 0 0 0 3 3 2 -0.503165614222166
"176" 1 1 2 1.48989047710946 1 1 0.495389873314782 0.166265239217615 1.05522811941126 0 1 1 1 0 3 3.54438616668797
"177" 1 1 0 0.75007725693589 0 2 -2.67356215015804 -2.51906382719279 -0.517591846800086 1 0 0 2 3 1 1.04683306308219
"178" 1 0 2 0.679649777074136 1 0 -0.736547380616655 -2.09609360636835 -2.8556776216497 0 1 1 1 3 4 1.23384244936313
"179" 0 1 0 0.0649019580133036 0 2 -4.60244671000658 -3.32886347032141 -2.51069752352139 0 0 0 6 2 4 1.21494745682871
"180" 0 0 0 -0.206474147995483 0 0 -5.35866723890633 -5.13806624599618 -5.29155474099529 0 0 0 5 5 7 0.52440191418614
"181" 1 1 1 0.940057037439558 1 2 -0.646227872929266 -0.391745269417512 0.0180504918622874 0 1 0 0 0 0 0.79333138120287
"182" 1 0 1 0.962056510635141 1 1 -0.815044998101547 -0.197973089267842 -0.541348117075765 0 1 0 2 0 2 1.17277885236788
"183" 0 1 1 0.169680395549238 0 2 -4.16582357311436 -2.80735608080023 -2.84353882698267 0 0 0 8 2 5 0.110061215627847
"184" 0 1 0 -0.0426527240789517 1 0 -3.26687714439208 -3.25658463700627 -4.47949839466085 0 0 0 4 3 6 0.601172124919644
"185" 0 0 2 0.253669975583769 1 0 -3.00433090466777 -3.41699953408881 -4.30336527724639 0 0 0 3 4 10 1.11806867944914
"186" 1 0 1 0.638050641840894 0 2 -2.71193375259031 -2.37895275113481 -1.13353326568494 0 1 0 4 0 2 0.24352333246834
"187" 1 1 2 0.5868222057083 1 1 -1.31708032466312 0.0934865562998047 -1.04274206160395 0 1 0 0 0 0 0.165750220895039
"188" 0 1 1 0.34578952293436 1 2 -1.97447041331907 -1.54923549905112 -1.97557339360077 0 0 0 1 2 1 1.22532987359454
"189" 1 1 0 0.582581670317949 1 0 -1.09233866577938 -1.86668741738779 -2.65902013671712 0 0 1 2 3 2 0.825976745986161
"190" 0 1 0 0.28068515161394 1 0 -2.88005605163904 -3.01724928526146 -3.92498896280226 0 0 0 5 1 4 1.81469592636377
"191" 1 0 1 0.83555850119878 1 2 -0.709873600467567 -1.04304793222166 -0.47959705097817 0 0 1 0 0 0 1.44403494578467
"192" 0 1 2 0.486474399845911 1 2 -1.95627576605239 -1.60059332187849 -1.80035290295235 1 0 0 3 1 3 2.36043969457474
"193" 0 0 2 0.267411891665515 0 0 -3.74595652094136 -4.67748389079087 -4.271049252853 0 0 0 3 4 1 2.1436631164546
"194" 1 1 0 0.371512666037333 0 0 -3.19353953374428 -3.86097212793165 -3.26326320067667 0 0 0 1 5 6 0.609052287745148
"195" 0 1 1 0.751234339166294 1 2 -1.613334768538 -1.45323369729605 -1.51160828549629 0 0 0 0 0 0 1.97287010206965
